index,EXPNUM,NITE,EXPTIME,BAND,OBJECT,T_EFF
0,684239,20171003,90.0,Y,DES survey hex 177-430 tiling 7,0.301
1,683805,20171002,90.0,Y,DES survey hex -32-582 tiling 9,0.303
2,683487,20171001,90.0,Y,DES survey hex -32-511 tiling 9,0.306
3,686160,20171011,90.0,Y,DES survey hex 116-14 tiling 9,0.307
4,684258,20171003,90.0,Y,DES survey hex 168-603 tiling 7,0.308
5,686164,20171011,90.0,Y,DES survey hex 132-65 tiling 9,0.31
6,683514,20171001,90.0,Y,DES survey hex 58-308 tiling 9,0.311
7,684259,20171003,90.0,Y,DES survey hex 203-613 tiling 7,0.315
8,674693,20170902,90.0,Y,DES survey hex -232-471 tiling 9,0.322
9,673144,20170828,90.0,Y,DES survey hex 244+6 tiling 9,0.322
10,684242,20171003,90.0,Y,DES survey hex 105-582 tiling 9,0.323
11,673143,20170828,90.0,Y,DES survey hex 260+16 tiling 9,0.324
12,683517,20171001,90.0,Y,DES survey hex -9-379 tiling 9,0.327
13,683038,20170929,90.0,Y,DES survey hex -36-410 tiling 9,0.327
14,683526,20171001,90.0,Y,DES survey hex 34-359 tiling 9,0.329
15,683439,20171001,90.0,Y,DES survey hex -360-562 tiling 9,0.329
16,676900,20170911,90.0,Y,DES survey hex 204-268 tiling 7,0.33
17,683494,20171001,90.0,Y,DES survey hex 13-369 tiling 9,0.33
18,683520,20171001,90.0,Y,DES survey hex 2-430 tiling 9,0.332
19,686170,20171011,90.0,Y,DES survey hex 196-24 tiling 9,0.336
20,674756,20170902,90.0,Y,DES survey hex -45-471 tiling 9,0.34
21,674682,20170902,90.0,Y,DES survey hex -287-511 tiling 9,0.342
22,683794,20171002,90.0,Y,DES survey hex -436-613 tiling 9,0.342
23,683446,20171001,90.0,Y,DES survey hex -102-410 tiling 9,0.344
24,683855,20171002,90.0,Y,DES survey hex 71-400 tiling 9,0.345
25,673688,20170830,90.0,Y,DES survey hex -5-359 tiling 7,0.346
26,674810,20170902,90.0,Y,DES survey hex 276+26 tiling 9,0.346
27,683837,20171002,90.0,Y,DES survey hex 45-582 tiling 9,0.347
28,686167,20171011,90.0,Y,DES survey hex 212+6 tiling 9,0.349
29,676401,20170910,90.0,Y,DES survey hex 180+26 tiling 9,0.349
30,683515,20171001,90.0,Y,DES survey hex 57-329 tiling 9,0.352
31,674684,20170902,90.0,Y,DES survey hex -228-410 tiling 9,0.355
32,683808,20171002,90.0,Y,DES survey hex 17-572 tiling 9,0.357
33,674685,20170902,90.0,Y,DES survey hex -275-582 tiling 9,0.363
34,683524,20171001,90.0,Y,DES survey hex 37-491 tiling 9,0.365
35,683846,20171002,90.0,Y,DES survey hex 70-613 tiling 9,0.366
36,683857,20171002,90.0,Y,DES survey hex 93-369 tiling 9,0.371
37,683525,20171001,90.0,Y,DES survey hex 32-379 tiling 9,0.374
38,674809,20170902,90.0,Y,DES survey hex 291+37 tiling 9,0.376
39,683844,20171002,90.0,Y,DES survey hex 90-430 tiling 7,0.383
40,683516,20171001,90.0,Y,DES survey hex 39-318 tiling 9,0.389
41,683516,20171001,90.0,Y,DES survey hex 39-318 tiling 9,0.389
42,683935,20171002,90.0,Y,DES survey hex 212-34 tiling 9,0.389
43,673689,20170830,90.0,Y,DES survey hex -9-379 tiling 7,0.389
44,676899,20170911,90.0,Y,DES survey hex 221-258 tiling 7,0.39
45,683823,20171002,90.0,Y,DES survey hex 74-359 tiling 9,0.393
46,683522,20171001,90.0,Y,DES survey hex 14-481 tiling 9,0.393
47,683523,20171001,90.0,Y,DES survey hex -12-491 tiling 9,0.395
48,684261,20171003,90.0,Y,DES survey hex 248-643 tiling 9,0.395
49,683938,20171002,90.0,Y,DES survey hex 228+37 tiling 9,0.4
50,674697,20170902,90.0,Y,DES survey hex -208-440 tiling 9,0.401
51,683845,20171002,90.0,Y,DES survey hex -344-603 tiling 9,0.403
52,674256,20170901,90.0,Y,DES survey hex -480-501 tiling 9,0.403
53,674257,20170901,90.0,Y,DES survey hex -505-511 tiling 9,0.408
54,674702,20170902,90.0,Y,DES survey hex -186-471 tiling 9,0.409
55,683849,20171002,90.0,Y,DES survey hex -5-633 tiling 9,0.411
56,674724,20170902,90.0,Y,DES survey hex -212-542 tiling 9,0.419
57,683527,20171001,90.0,Y,DES survey hex 37-339 tiling 9,0.429
58,683788,20171002,90.0,Y,DES survey hex -465-643 tiling 9,0.43
59,683937,20171002,90.0,Y,DES survey hex 228+16 tiling 9,0.43
60,675134,20170906,90.0,Y,DES survey hex -465-643 tiling 7,0.431
61,683859,20171002,90.0,Y,DES survey hex 114-339 tiling 9,0.434
62,683037,20170929,90.0,Y,DES survey hex -36-420 tiling 9,0.436
63,683824,20171002,90.0,Y,DES survey hex 75-339 tiling 9,0.436
64,684262,20171003,90.0,Y,DES survey hex 214-653 tiling 9,0.437
