EXPNUM,NITE,EXPTIME,BAND,OBJECT,T_EFF
684239,20171003,90.00000000,Y,DES survey hex 177-430 tiling 7,0.30100000
683805,20171002,90.00000000,Y,DES survey hex -32-582 tiling 9,0.30300000
683487,20171001,90.00000000,Y,DES survey hex -32-511 tiling 9,0.30600000
686160,20171011,90.00000000,Y,DES survey hex 116-14 tiling 9,0.30700000
684258,20171003,90.00000000,Y,DES survey hex 168-603 tiling 7,0.30800000
686164,20171011,90.00000000,Y,DES survey hex 132-65 tiling 9,0.31000000
683514,20171001,90.00000000,Y,DES survey hex 58-308 tiling 9,0.31100000
684259,20171003,90.00000000,Y,DES survey hex 203-613 tiling 7,0.31500000
674693,20170902,90.00000000,Y,DES survey hex -232-471 tiling 9,0.32200000
673144,20170828,90.00000000,Y,DES survey hex 244+6 tiling 9,0.32200000
684242,20171003,90.00000000,Y,DES survey hex 105-582 tiling 9,0.32300000
673143,20170828,90.00000000,Y,DES survey hex 260+16 tiling 9,0.32400000
683517,20171001,90.00000000,Y,DES survey hex -9-379 tiling 9,0.32700000
683038,20170929,90.00000000,Y,DES survey hex -36-410 tiling 9,0.32700000
683526,20171001,90.00000000,Y,DES survey hex 34-359 tiling 9,0.32900000
683439,20171001,90.00000000,Y,DES survey hex -360-562 tiling 9,0.32900000
676900,20170911,90.00000000,Y,DES survey hex 204-268 tiling 7,0.33000000
683494,20171001,90.00000000,Y,DES survey hex 13-369 tiling 9,0.33000000
683520,20171001,90.00000000,Y,DES survey hex 2-430 tiling 9,0.33200000
686170,20171011,90.00000000,Y,DES survey hex 196-24 tiling 9,0.33600000
674756,20170902,90.00000000,Y,DES survey hex -45-471 tiling 9,0.34000000
674682,20170902,90.00000000,Y,DES survey hex -287-511 tiling 9,0.34200000
683794,20171002,90.00000000,Y,DES survey hex -436-613 tiling 9,0.34200000
683446,20171001,90.00000000,Y,DES survey hex -102-410 tiling 9,0.34400000
683855,20171002,90.00000000,Y,DES survey hex 71-400 tiling 9,0.34500000
673688,20170830,90.00000000,Y,DES survey hex -5-359 tiling 7,0.34600000
674810,20170902,90.00000000,Y,DES survey hex 276+26 tiling 9,0.34600000
683837,20171002,90.00000000,Y,DES survey hex 45-582 tiling 9,0.34700000
686167,20171011,90.00000000,Y,DES survey hex 212+6 tiling 9,0.34900000
676401,20170910,90.00000000,Y,DES survey hex 180+26 tiling 9,0.34900000
683515,20171001,90.00000000,Y,DES survey hex 57-329 tiling 9,0.35200000
674684,20170902,90.00000000,Y,DES survey hex -228-410 tiling 9,0.35500000
683808,20171002,90.00000000,Y,DES survey hex 17-572 tiling 9,0.35700000
674685,20170902,90.00000000,Y,DES survey hex -275-582 tiling 9,0.36300000
683524,20171001,90.00000000,Y,DES survey hex 37-491 tiling 9,0.36500000
683846,20171002,90.00000000,Y,DES survey hex 70-613 tiling 9,0.36600000
683857,20171002,90.00000000,Y,DES survey hex 93-369 tiling 9,0.37100000
683525,20171001,90.00000000,Y,DES survey hex 32-379 tiling 9,0.37400000
674809,20170902,90.00000000,Y,DES survey hex 291+37 tiling 9,0.37600000
683844,20171002,90.00000000,Y,DES survey hex 90-430 tiling 7,0.38300000
683516,20171001,90.00000000,Y,DES survey hex 39-318 tiling 9,0.38900000
683516,20171001,90.00000000,Y,DES survey hex 39-318 tiling 9,0.38900000
683935,20171002,90.00000000,Y,DES survey hex 212-34 tiling 9,0.38900000
673689,20170830,90.00000000,Y,DES survey hex -9-379 tiling 7,0.38900000
676899,20170911,90.00000000,Y,DES survey hex 221-258 tiling 7,0.39000000
683823,20171002,90.00000000,Y,DES survey hex 74-359 tiling 9,0.39300000
683522,20171001,90.00000000,Y,DES survey hex 14-481 tiling 9,0.39300000
683523,20171001,90.00000000,Y,DES survey hex -12-491 tiling 9,0.39500000
684261,20171003,90.00000000,Y,DES survey hex 248-643 tiling 9,0.39500000
683938,20171002,90.00000000,Y,DES survey hex 228+37 tiling 9,0.40000000
674697,20170902,90.00000000,Y,DES survey hex -208-440 tiling 9,0.40100000
683845,20171002,90.00000000,Y,DES survey hex -344-603 tiling 9,0.40300000
674256,20170901,90.00000000,Y,DES survey hex -480-501 tiling 9,0.40300000
674257,20170901,90.00000000,Y,DES survey hex -505-511 tiling 9,0.40800000
674702,20170902,90.00000000,Y,DES survey hex -186-471 tiling 9,0.40900000
683849,20171002,90.00000000,Y,DES survey hex -5-633 tiling 9,0.41100000
674724,20170902,90.00000000,Y,DES survey hex -212-542 tiling 9,0.41900000
683527,20171001,90.00000000,Y,DES survey hex 37-339 tiling 9,0.42900000
683788,20171002,90.00000000,Y,DES survey hex -465-643 tiling 9,0.43000000
683937,20171002,90.00000000,Y,DES survey hex 228+16 tiling 9,0.43000000
675134,20170906,90.00000000,Y,DES survey hex -465-643 tiling 7,0.43100000
683859,20171002,90.00000000,Y,DES survey hex 114-339 tiling 9,0.43400000
683037,20170929,90.00000000,Y,DES survey hex -36-420 tiling 9,0.43600000
683824,20171002,90.00000000,Y,DES survey hex 75-339 tiling 9,0.43600000
684262,20171003,90.00000000,Y,DES survey hex 214-653 tiling 9,0.43700000
683518,20171001,90.00000000,Y,DES survey hex -7-471 tiling 9,0.43700000
683791,20171002,90.00000000,Y,DES survey hex -468-623 tiling 9,0.43800000
675522,20170907,90.00000000,Y,DES survey hex -549-430 tiling 9,0.43900000
683792,20171002,90.00000000,Y,DES survey hex -502-633 tiling 9,0.43900000
683847,20171002,90.00000000,Y,DES survey hex -40-633 tiling 9,0.43900000
674616,20170902,90.00000000,Y,DES survey hex -352-511 tiling 9,0.44100000
674249,20170901,90.00000000,Y,DES survey hex -537-623 tiling 9,0.44300000
683793,20171002,90.00000000,Y,DES survey hex -471-603 tiling 9,0.44400000
683822,20171002,90.00000000,Y,DES survey hex 72-379 tiling 9,0.44400000
683884,20171002,90.00000000,Y,DES survey hex 187-278 tiling 7,0.44500000
674704,20170902,90.00000000,Y,DES survey hex -210-501 tiling 9,0.44500000
676895,20170911,90.00000000,Y,DES survey hex 417-247 tiling 7,0.44700000
674259,20170901,90.00000000,Y,DES survey hex -451-532 tiling 9,0.44800000
674705,20170902,90.00000000,Y,DES survey hex -162-481 tiling 9,0.45300000
683809,20171002,90.00000000,Y,DES survey hex 11-592 tiling 9,0.45300000
683829,20171002,90.00000000,Y,DES survey hex 21-308 tiling 9,0.45500000
674710,20170902,90.00000000,Y,DES survey hex -142-430 tiling 9,0.45900000
683848,20171002,90.00000000,Y,DES survey hex -35-623 tiling 9,0.46000000
683838,20171002,90.00000000,Y,DES survey hex 39-603 tiling 9,0.46400000
683894,20171002,90.00000000,Y,DES survey hex 111-440 tiling 7,0.46500000
683820,20171002,90.00000000,Y,DES survey hex -27-461 tiling 9,0.46500000
683904,20171002,90.00000000,Y,DES survey hex 165-146 tiling 7,0.46700000
674258,20170901,90.00000000,Y,DES survey hex -478-521 tiling 9,0.46800000
683827,20171002,90.00000000,Y,DES survey hex 41-298 tiling 9,0.46900000
683872,20171002,90.00000000,Y,DES survey hex 115-237 tiling 7,0.47100000
683789,20171002,90.00000000,Y,DES survey hex -391-643 tiling 9,0.47200000
676837,20170911,90.00000000,Y,DES survey hex -30-440 tiling 9,0.47600000
683879,20171002,90.00000000,Y,DES survey hex -15-653 tiling 9,0.48300000
683519,20171001,90.00000000,Y,DES survey hex -2-450 tiling 9,0.48300000
683810,20171002,90.00000000,Y,DES survey hex -59-592 tiling 9,0.48400000
683784,20171002,90.00000000,Y,DES survey hex -569-613 tiling 9,0.48500000
683836,20171002,90.00000000,Y,DES survey hex 42-278 tiling 9,0.48500000
674812,20170902,90.00000000,Y,DES survey hex 244+26 tiling 9,0.48500000
683790,20171002,90.00000000,Y,DES survey hex -431-633 tiling 9,0.48600000
675636,20170907,90.00000000,Y,DES survey hex -219-643 tiling 9,0.48600000
675698,20170907,90.00000000,Y,DES survey hex 346-643 tiling 7,0.48700000
683828,20171002,90.00000000,Y,DES survey hex -33-481 tiling 9,0.48900000
683873,20171002,90.00000000,Y,DES survey hex 132-247 tiling 7,0.48900000
674279,20170901,90.00000000,Y,DES survey hex -503-592 tiling 9,0.48900000
675702,20170907,90.00000000,Y,DES survey hex 137-633 tiling 7,0.49300000
674280,20170901,90.00000000,Y,DES survey hex -473-582 tiling 9,0.49400000
683786,20171002,90.00000000,Y,DES survey hex -578-653 tiling 9,0.49400000
667570,20170815,90.00000000,Y,DES survey hex -299-14 tiling 7,0.49400000
683826,20171002,90.00000000,Y,DES survey hex 19-329 tiling 9,0.50000000
674248,20170901,90.00000000,Y,DES survey hex -539-643 tiling 7,0.50100000
683858,20171002,90.00000000,Y,DES survey hex 94-349 tiling 9,0.50200000
675701,20170907,90.00000000,Y,DES survey hex 138-653 tiling 7,0.50300000
682711,20170928,90.00000000,Y,DES survey hex -563-572 tiling 9,0.50400000
683817,20171002,90.00000000,Y,DES survey hex 29-400 tiling 9,0.50500000
683785,20171002,90.00000000,Y,DES survey hex -573-633 tiling 9,0.50600000
683787,20171002,90.00000000,Y,DES survey hex -501-653 tiling 9,0.50700000
683865,20171002,90.00000000,Y,DES survey hex -72-643 tiling 9,0.50900000
674247,20170901,90.00000000,Y,DES survey hex -528-461 tiling 9,0.51000000
674260,20170901,90.00000000,Y,DES survey hex -504-532 tiling 9,0.51000000
683821,20171002,90.00000000,Y,DES survey hex 53-369 tiling 9,0.51300000
684263,20171003,90.00000000,Y,DES survey hex 136-592 tiling 7,0.51300000
