index,EXPNUM,NITE,EXPTIME,BAND,OBJECT,T_EFF
0,692099,20171028,90.0,g,DES survey hex 419-65 tiling 9,0.751
1,668653,20170817,90.0,g,DES survey hex 56-521 tiling 6,0.751
2,687920,20171016,90.0,g,DES survey hex 298-440 tiling 8,0.752
3,687950,20171016,90.0,g,DES survey hex 284-420 tiling 8,0.752
4,680512,20170922,90.0,g,DES survey hex -186-450 tiling 9,0.753
5,686402,20171012,90.0,g,DES survey hex -412-582 tiling 8,0.753
6,686395,20171012,90.0,g,DES survey hex -451-532 tiling 8,0.753
7,670002,20170820,90.0,g,DES survey hex -2-450 tiling 7,0.753
8,692500,20171029,90.0,g,DES survey hex 452-187 tiling 8,0.754
9,668638,20170817,90.0,g,DES survey hex 20+6 tiling 7,0.754
10,687848,20171016,90.0,g,DES survey hex -236-511 tiling 9,0.754
11,685367,20171009,90.0,g,DES survey hex -395-14 tiling 7,0.754
13,692510,20171029,90.0,g,DES survey hex 468-156 tiling 8,0.754
14,688510,20171018,90.0,g,DES survey hex 26-420 tiling 8,0.754
15,694162,20171108,90.0,g,DES survey hex -76+6 tiling 8,0.755
16,688204,20171017,90.0,g,DES survey hex 328-258 tiling 7,0.755
17,689416,20171020,90.0,g,DES survey hex 540-430 tiling 7,0.756
18,681296,20170924,90.0,g,DES survey hex 261-65 tiling 8,0.756
19,689416,20171020,90.0,g,DES survey hex 540-430 tiling 7,0.756
20,680457,20170922,90.0,g,DES survey hex -364-471 tiling 8,0.757
21,688905,20171019,90.0,g,DES survey hex -45-471 tiling 9,0.757
22,690910,20171025,90.0,g,DES survey hex 338-329 tiling 8,0.757
23,690932,20171025,90.0,g,DES survey hex 637-542 tiling 7,0.758
24,689421,20171020,90.0,g,DES survey hex 580-592 tiling 7,0.758
25,689751,20171021,90.0,g,DES survey hex 39-603 tiling 9,0.758
26,678905,20170917,90.0,g,DES survey hex 132-4 tiling 8,0.759
27,685691,20171010,90.0,g,DES survey hex -391-643 tiling 8,0.759
28,688842,20171019,90.0,g,DES survey hex -355-410 tiling 9,0.76
29,686396,20171012,90.0,g,DES survey hex -411-471 tiling 8,0.76
31,693197,20171031,90.0,g,DES survey hex 453-430 tiling 8,0.761
