EXPNUM,NITE,EXPTIME,BAND,OBJECT,T_EFF
692099,20171028,90.00000000,g,DES survey hex 419-65 tiling 9,0.75100000
668653,20170817,90.00000000,g,DES survey hex 56-521 tiling 6,0.75100000
687920,20171016,90.00000000,g,DES survey hex 298-440 tiling 8,0.75200000
687950,20171016,90.00000000,g,DES survey hex 284-420 tiling 8,0.75200000
680512,20170922,90.00000000,g,DES survey hex -186-450 tiling 9,0.75300000
686402,20171012,90.00000000,g,DES survey hex -412-582 tiling 8,0.75300000
686395,20171012,90.00000000,g,DES survey hex -451-532 tiling 8,0.75300000
670002,20170820,90.00000000,g,DES survey hex -2-450 tiling 7,0.75300000
692500,20171029,90.00000000,g,DES survey hex 452-187 tiling 8,0.75400000
668638,20170817,90.00000000,g,DES survey hex 20+6 tiling 7,0.75400000
687848,20171016,90.00000000,g,DES survey hex -236-511 tiling 9,0.75400000
685367,20171009,90.00000000,g,DES survey hex -395-14 tiling 7,0.75400000
694581,20171109,90.00000000,g,DES survey hex 173-369 tiling 8,0.75400000
692510,20171029,90.00000000,g,DES survey hex 468-156 tiling 8,0.75400000
688510,20171018,90.00000000,g,DES survey hex 26-420 tiling 8,0.75400000
694162,20171108,90.00000000,g,DES survey hex -76+6 tiling 8,0.75500000
688204,20171017,90.00000000,g,DES survey hex 328-258 tiling 7,0.75500000
689416,20171020,90.00000000,g,DES survey hex 540-430 tiling 7,0.75600000
681296,20170924,90.00000000,g,DES survey hex 261-65 tiling 8,0.75600000
689416,20171020,90.00000000,g,DES survey hex 540-430 tiling 7,0.75600000
680457,20170922,90.00000000,g,DES survey hex -364-471 tiling 8,0.75700000
688905,20171019,90.00000000,g,DES survey hex -45-471 tiling 9,0.75700000
690910,20171025,90.00000000,g,DES survey hex 338-329 tiling 8,0.75700000
690932,20171025,90.00000000,g,DES survey hex 637-542 tiling 7,0.75800000
689421,20171020,90.00000000,g,DES survey hex 580-592 tiling 7,0.75800000
689751,20171021,90.00000000,g,DES survey hex 39-603 tiling 9,0.75800000
678905,20170917,90.00000000,g,DES survey hex 132-4 tiling 8,0.75900000
685691,20171010,90.00000000,g,DES survey hex -391-643 tiling 8,0.75900000
688842,20171019,90.00000000,g,DES survey hex -355-410 tiling 9,0.76000000
686396,20171012,90.00000000,g,DES survey hex -411-471 tiling 8,0.76000000
694579,20171109,90.00000000,g,DES survey hex 194-379 tiling 8,0.76000000
693197,20171031,90.00000000,g,DES survey hex 453-430 tiling 8,0.76100000
680438,20170922,90.00000000,g,DES survey hex -462-430 tiling 8,0.76200000
678989,20170917,90.00000000,g,DES survey hex 299-197 tiling 7,0.76400000
686401,20171012,90.00000000,g,DES survey hex -441-592 tiling 8,0.76500000
668623,20170817,90.00000000,g,DES survey hex -111-633 tiling 8,0.76600000
691233,20171026,90.00000000,g,DES survey hex 16-349 tiling 9,0.76600000
686448,20171012,90.00000000,g,DES survey hex -183-633 tiling 9,0.76700000
689401,20171020,90.00000000,g,DES survey hex 556-511 tiling 7,0.76800000
678920,20170917,90.00000000,g,DES survey hex 212-14 tiling 9,0.76800000
686428,20171012,90.00000000,g,DES survey hex -439-440 tiling 8,0.76900000
694149,20171108,90.00000000,g,DES survey hex -124+16 tiling 8,0.76900000
691287,20171026,90.00000000,g,DES survey hex 359-603 tiling 8,0.76900000
689782,20171021,90.00000000,g,DES survey hex 112-420 tiling 8,0.76900000
694149,20171108,90.00000000,g,DES survey hex -124+16 tiling 8,0.76900000
687945,20171016,90.00000000,g,DES survey hex 224-450 tiling 7,0.77000000
672733,20170827,90.00000000,g,DES survey hex 148+47 tiling 8,0.77100000
689788,20171021,90.00000000,g,DES survey hex 155-420 tiling 8,0.77100000
671598,20170824,90.00000000,g,DES survey hex -271-410 tiling 8,0.77200000
694182,20171108,90.00000000,g,DES survey hex 36-65 tiling 9,0.77200000
688890,20171019,90.00000000,g,DES survey hex -122-420 tiling 9,0.77300000
689435,20171020,90.00000000,g,DES survey hex 393-592 tiling 8,0.77300000
694599,20171109,90.00000000,g,DES survey hex 200-187 tiling 8,0.77300000
689424,20171020,90.00000000,g,DES survey hex 455-572 tiling 8,0.77400000
690926,20171025,90.00000000,g,DES survey hex 591-542 tiling 7,0.77400000
691301,20171026,90.00000000,g,DES survey hex 425-582 tiling 8,0.77500000
690924,20171025,90.00000000,g,DES survey hex 566-552 tiling 7,0.77600000
678962,20170917,90.00000000,g,DES survey hex 451+16 tiling 8,0.77700000
678919,20170917,90.00000000,g,DES survey hex 196-4 tiling 9,0.77800000
689427,20171020,90.00000000,g,DES survey hex 485-582 tiling 8,0.77900000
668637,20170817,90.00000000,g,DES survey hex 36+16 tiling 7,0.77900000
671600,20170824,90.00000000,g,DES survey hex -251-420 tiling 8,0.78000000
672730,20170827,90.00000000,g,DES survey hex 132+37 tiling 8,0.78100000
685384,20171009,90.00000000,g,DES survey hex -599-603 tiling 7,0.78100000
690906,20171025,90.00000000,g,DES survey hex 254-481 tiling 9,0.78100000
694215,20171108,90.00000000,g,DES survey hex -40-633 tiling 9,0.78200000
669987,20170820,90.00000000,g,DES survey hex -139-471 tiling 8,0.78300000
687533,20171015,90.00000000,g,DES survey hex -263-521 tiling 9,0.78300000
689296,20171020,90.00000000,g,DES survey hex 149-197 tiling 8,0.78300000
688902,20171019,90.00000000,g,DES survey hex 19-461 tiling 8,0.78400000
687974,20171016,90.00000000,g,DES survey hex 379-501 tiling 8,0.78400000
688252,20171017,90.00000000,g,DES survey hex 454-491 tiling 8,0.78400000
672739,20170827,90.00000000,g,DES survey hex 180+47 tiling 8,0.78400000
685680,20171010,90.00000000,g,DES survey hex -443-400 tiling 8,0.78500000
687840,20171016,90.00000000,g,DES survey hex -238-532 tiling 9,0.78500000
668648,20170817,90.00000000,g,DES survey hex 4-24 tiling 7,0.78600000
670441,20170821,90.00000000,g,DES survey hex 180+26 tiling 8,0.78800000
672410,20170826,90.00000000,g,DES survey hex 291+37 tiling 9,0.78900000
689632,20171021,90.00000000,g,DES survey hex -267-14 tiling 9,0.79000000
691286,20171026,90.00000000,g,DES survey hex 420-643 tiling 8,0.79000000
686443,20171012,90.00000000,g,DES survey hex -370-450 tiling 8,0.79000000
686434,20171012,90.00000000,g,DES survey hex -355-420 tiling 8,0.79100000
692069,20171028,90.00000000,g,DES survey hex 372-14 tiling 8,0.79200000
692502,20171029,90.00000000,g,DES survey hex 468-176 tiling 8,0.79300000
691299,20171026,90.00000000,g,DES survey hex 427-542 tiling 8,0.79400000
682042,20170926,90.00000000,g,DES survey hex 52+26 tiling 8,0.79400000
671998,20170825,90.00000000,g,DES survey hex -137-491 tiling 8,0.79400000
688517,20171018,90.00000000,g,DES survey hex 176-410 tiling 7,0.79500000
694244,20171108,90.00000000,g,DES survey hex -132-532 tiling 9,0.79500000
689641,20171021,90.00000000,g,DES survey hex -219-4 tiling 9,0.79600000
680468,20170922,90.00000000,g,DES survey hex -430-501 tiling 8,0.79600000
669999,20170820,90.00000000,g,DES survey hex -7-471 tiling 7,0.79600000
691298,20171026,90.00000000,g,DES survey hex 426-562 tiling 8,0.79700000
694184,20171108,90.00000000,g,DES survey hex 3-65 tiling 9,0.79700000
681665,20170925,90.00000000,g,DES survey hex 299-197 tiling 8,0.79700000
687781,20171016,90.00000000,g,DES survey hex -475-562 tiling 9,0.79900000
681650,20170925,90.00000000,g,DES survey hex 218-217 tiling 8,0.79900000
672749,20170827,90.00000000,g,DES survey hex 196-45 tiling 8,0.80000000
689770,20171021,90.00000000,g,DES survey hex 33-511 tiling 9,0.80100000
685664,20171010,90.00000000,g,DES survey hex -426-521 tiling 8,0.80200000
681234,20170924,90.00000000,g,DES survey hex 198-146 tiling 7,0.80300000
688903,20171019,90.00000000,g,DES survey hex 22-440 tiling 8,0.80300000
694164,20171108,90.00000000,g,DES survey hex -60+16 tiling 8,0.80400000
691278,20171026,90.00000000,g,DES survey hex 353-623 tiling 8,0.80500000
692100,20171028,90.00000000,g,DES survey hex 435-75 tiling 9,0.80500000
688200,20171017,90.00000000,g,DES survey hex 303-308 tiling 7,0.80600000
688246,20171017,90.00000000,g,DES survey hex 507-532 tiling 7,0.80600000
687850,20171016,90.00000000,g,DES survey hex -30-440 tiling 8,0.80600000
687750,20171016,90.00000000,g,DES survey hex -506-410 tiling 9,0.80600000
678742,20170917,90.00000000,g,DES survey hex -555-511 tiling 8,0.80700000
694153,20171108,90.00000000,g,DES survey hex -108+6 tiling 8,0.80800000
678980,20170917,90.00000000,g,DES survey hex 253-217 tiling 7,0.80900000
689791,20171021,90.00000000,g,DES survey hex 176-410 tiling 8,0.80900000
692121,20171028,90.00000000,g,DES survey hex 517-126 tiling 8,0.81000000
694242,20171108,90.00000000,g,DES survey hex -157-542 tiling 9,0.81000000
691273,20171026,90.00000000,g,DES survey hex 303-582 tiling 8,0.81100000
692103,20171028,90.00000000,g,DES survey hex 468-95 tiling 8,0.81100000
678904,20170917,90.00000000,g,DES survey hex 116-14 tiling 8,0.81100000
677286,20170913,90.00000000,g,DES survey hex -183-613 tiling 8,0.81200000
681642,20170925,90.00000000,g,DES survey hex 167-227 tiling 8,0.81200000
672401,20170826,90.00000000,g,DES survey hex 244+6 tiling 9,0.81300000
678943,20170917,90.00000000,g,DES survey hex 180+26 tiling 9,0.81300000
689785,20171021,90.00000000,g,DES survey hex 133-410 tiling 8,0.81300000
689258,20171020,90.00000000,g,DES survey hex -299-14 tiling 8,0.81400000
692092,20171028,90.00000000,g,DES survey hex 435-14 tiling 8,0.81400000
691290,20171026,90.00000000,g,DES survey hex 364-582 tiling 8,0.81400000
681654,20170925,90.00000000,g,DES survey hex 235-207 tiling 8,0.81400000
689290,20171020,90.00000000,g,DES survey hex 115-217 tiling 8,0.81400000
677277,20170913,90.00000000,g,DES survey hex -293-643 tiling 7,0.81500000
689252,20171020,90.00000000,g,DES survey hex -315-4 tiling 8,0.81500000
689255,20171020,90.00000000,g,DES survey hex -299+6 tiling 8,0.81500000
688233,20171017,90.00000000,g,DES survey hex 573-481 tiling 7,0.81500000
687794,20171016,90.00000000,g,DES survey hex -505-430 tiling 9,0.81600000
680718,20170923,90.00000000,g,DES survey hex -399-623 tiling 8,0.81600000
692080,20171028,90.00000000,g,DES survey hex 404+6 tiling 8,0.81600000
689631,20171021,90.00000000,g,DES survey hex -267+6 tiling 9,0.81700000
677278,20170913,90.00000000,g,DES survey hex -258-653 tiling 7,0.81900000
689743,20171021,90.00000000,g,DES survey hex 339-75 tiling 8,0.81900000
685372,20171009,90.00000000,g,DES survey hex -363+6 tiling 7,0.82200000
694594,20171109,90.00000000,g,DES survey hex 166-187 tiling 8,0.82200000
680829,20170923,90.00000000,g,DES survey hex 115-197 tiling 8,0.82200000
686429,20171012,90.00000000,g,DES survey hex -418-430 tiling 8,0.82200000
670005,20170820,90.00000000,g,DES survey hex 46-430 tiling 8,0.82300000
680460,20170922,90.00000000,g,DES survey hex -385-481 tiling 8,0.82300000
694150,20171108,90.00000000,g,DES survey hex -140-14 tiling 8,0.82400000
685688,20171010,90.00000000,g,DES survey hex -355-410 tiling 8,0.82400000
680521,20170922,90.00000000,g,DES survey hex -59-410 tiling 8,0.82600000
687851,20171016,90.00000000,g,DES survey hex -36-420 tiling 8,0.82600000
689635,20171021,90.00000000,g,DES survey hex -235+6 tiling 9,0.82600000
681730,20170925,90.00000000,g,DES survey hex 221-258 tiling 8,0.82700000
672404,20170826,90.00000000,g,DES survey hex 260+16 tiling 9,0.82800000
689236,20171020,90.00000000,g,DES survey hex -350-440 tiling 9,0.82800000
671993,20170825,90.00000000,g,DES survey hex -186-471 tiling 8,0.82900000
669984,20170820,90.00000000,g,DES survey hex -163-461 tiling 8,0.82900000
681592,20170925,90.00000000,g,DES survey hex 4-521 tiling 8,0.83000000
671603,20170824,90.00000000,g,DES survey hex -253-440 tiling 8,0.83000000
693599,20171106,90.00000000,g,DES survey hex -75-440 tiling 9,0.83100000
670432,20170821,90.00000000,g,DES survey hex 132+16 tiling 8,0.83200000
693916,20171107,90.00000000,g,DES survey hex -35-623 tiling 9,0.83200000
678788,20170917,90.00000000,g,DES survey hex -478-521 tiling 8,0.83200000
688570,20171018,90.00000000,g,DES survey hex 542-278 tiling 8,0.83300000
691281,20171026,90.00000000,g,DES survey hex 385-633 tiling 8,0.83300000
690922,20171025,90.00000000,g,DES survey hex 536-542 tiling 7,0.83300000
686531,20171012,90.00000000,g,DES survey hex 10-390 tiling 8,0.83400000
685683,20171010,90.00000000,g,DES survey hex -401-400 tiling 8,0.83400000
680515,20170922,90.00000000,g,DES survey hex -95-450 tiling 8,0.83500000
687874,20171016,90.00000000,g,DES survey hex 49-562 tiling 8,0.83600000
670447,20170821,90.00000000,g,DES survey hex 212+26 tiling 8,0.83700000
688201,20171017,90.00000000,g,DES survey hex 306-288 tiling 7,0.83700000
692083,20171028,90.00000000,g,DES survey hex 435+26 tiling 8,0.83700000
688906,20171019,90.00000000,g,DES survey hex -71-461 tiling 9,0.83700000
670438,20170821,90.00000000,g,DES survey hex 164+16 tiling 8,0.83800000
687811,20171016,90.00000000,g,DES survey hex -386-572 tiling 9,0.83800000
694576,20171109,90.00000000,g,DES survey hex 174-390 tiling 8,0.83800000
688893,20171019,90.00000000,g,DES survey hex -119-440 tiling 9,0.83900000
689626,20171021,90.00000000,g,DES survey hex -299+6 tiling 9,0.84000000
692801,20171030,90.00000000,g,DES survey hex 452-308 tiling 8,0.84100000
691251,20171026,90.00000000,g,DES survey hex 134-471 tiling 8,0.84200000
668711,20170817,90.00000000,g,DES survey hex 185-511 tiling 6,0.84200000
692497,20171029,90.00000000,g,DES survey hex 502-176 tiling 8,0.84300000
680818,20170923,90.00000000,g,DES survey hex 76-572 tiling 8,0.84300000
668641,20170817,90.00000000,g,DES survey hex 4+16 tiling 7,0.84400000
680471,20170922,90.00000000,g,DES survey hex -380-501 tiling 8,0.84400000
682094,20170926,90.00000000,g,DES survey hex 100+37 tiling 9,0.84400000
681671,20170925,90.00000000,g,DES survey hex 307-55 tiling 7,0.84400000
690928,20171025,90.00000000,g,DES survey hex 606-552 tiling 7,0.84500000
689017,20171019,90.00000000,g,DES survey hex 170-308 tiling 8,0.84500000
670469,20170821,90.00000000,g,DES survey hex 276+47 tiling 8,0.84600000
689248,20171020,90.00000000,g,DES survey hex -315+16 tiling 8,0.84600000
689767,20171021,90.00000000,g,DES survey hex 29-400 tiling 9,0.84600000
