index,EXPNUM,NITE,EXPTIME,BAND,OBJECT,T_EFF
0,689608,20171021,90.0,i,DES survey hex -370-450 tiling 9,0.951
1,692050,20171028,90.0,i,DES survey hex 260-24 tiling 8,0.951
2,672771,20170827,90.0,i,DES survey hex 212+26 tiling 9,0.951
3,678958,20170917,90.0,i,DES survey hex 403+26 tiling 7,0.952
4,669509,20170819,90.0,i,DES wide hex 409-430 tiling 9,0.952
5,685684,20171010,90.0,i,DES survey hex -360-400 tiling 8,0.952
6,680514,20170922,90.0,i,DES survey hex -95-450 tiling 8,0.953
7,677215,20170913,90.0,i,DES survey hex -505-511 tiling 8,0.953
8,691693,20171027,90.0,i,DES survey hex 393-359 tiling 8,0.953
9,687837,20171016,90.0,i,DES survey hex -263-521 tiling 9,0.954
10,672088,20170825,90.0,i,DES wide hex 498-450 tiling 10,0.955
11,681912,20170926,90.0,i,DES survey hex -563-572 tiling 9,0.955
12,688915,20171019,90.0,i,DES survey hex 17-572 tiling 8,0.955
13,687749,20171016,90.0,i,DES survey hex -506-410 tiling 9,0.955
14,691249,20171026,90.0,i,DES survey hex 134-471 tiling 8,0.956
15,681534,20170925,90.0,i,DES survey hex -287-511 tiling 8,0.956
16,672406,20170826,90.0,i,DES survey hex 276+26 tiling 9,0.956
17,670392,20170821,90.0,i,DES survey hex -80-623 tiling 8,0.956
18,691219,20171026,90.0,i,DES survey hex -41-562 tiling 9,0.956
19,668026,20170816,90.0,i,DES survey hex -290-400 tiling 8,0.956
20,689640,20171021,90.0,i,DES survey hex -235-14 tiling 9,0.956
21,686530,20171012,90.0,i,DES survey hex 10-390 tiling 8,0.957
22,681526,20170925,90.0,i,DES survey hex -374-521 tiling 8,0.957
23,686510,20171012,90.0,i,DES survey hex 81-532 tiling 8,0.957
24,691295,20171026,90.0,i,DES survey hex 368-562 tiling 8,0.957
25,670010,20170820,90.0,i,DES survey hex 69-420 tiling 8,0.958
26,687838,20171016,90.0,i,DES survey hex -238-532 tiling 9,0.959
27,687843,20171016,90.0,i,DES survey hex -270-562 tiling 9,0.96
28,672394,20170826,90.0,i,DES survey hex 228-24 tiling 8,0.96
29,689041,20171019,90.0,i,DES survey hex 323-298 tiling 8,0.96
30,692494,20171029,90.0,i,DES survey hex 502-176 tiling 8,0.96
31,689625,20171021,90.0,i,DES survey hex -299+6 tiling 8,0.961
32,668116,20170816,90.0,i,DES wide hex 495-410 tiling 10,0.961
33,692011,20171028,90.0,i,DES survey hex -40-633 tiling 9,0.961
34,672408,20170826,90.0,i,DES survey hex 291+37 tiling 9,0.962
35,681911,20170926,90.0,i,DES survey hex -560-552 tiling 9,0.962
36,692043,20171028,90.0,i,DES survey hex 308+26 tiling 9,0.963
37,669505,20170819,90.0,i,DES wide hex 372-542 tiling 9,0.963
38,677390,20170913,90.0,i,DES survey hex 261-65 tiling 8,0.963
39,668670,20170817,90.0,i,DES survey hex 188-532 tiling 6,0.964
40,681521,20170925,90.0,i,DES survey hex -407-491 tiling 8,0.964
41,672094,20170825,90.0,i,DES wide hex 513-379 tiling 10,0.964
42,668076,20170816,90.0,i,DES wide hex 372-542 tiling 10,0.964
43,681521,20170925,90.0,i,DES survey hex -407-491 tiling 8,0.964
44,668650,20170817,90.0,i,DES survey hex 36-24 tiling 8,0.965
45,687795,20171016,90.0,i,DES survey hex -418-430 tiling 9,0.965
46,670448,20170821,90.0,i,DES survey hex 228+16 tiling 8,0.965
47,691268,20171026,90.0,i,DES survey hex 287-582 tiling 8,0.965
48,670394,20170821,90.0,i,DES survey hex -50-613 tiling 8,0.965
49,668073,20170816,90.0,i,DES wide hex 352-511 tiling 10,0.965
50,687903,20171016,90.0,i,DES survey hex -16-582 tiling 9,0.966
51,689843,20171021,90.0,i,DES survey hex 490-623 tiling 9,0.966
52,670463,20170821,90.0,i,DES survey hex 307+47 tiling 8,0.966
53,672417,20170826,90.0,i,DES survey hex 228+37 tiling 9,0.966
54,692017,20171028,90.0,i,DES survey hex -80-623 tiling 9,0.966
55,689332,20171020,90.0,i,DES survey hex 271-542 tiling 8,0.966
56,678932,20170917,90.0,i,DES survey hex 148+6 tiling 9,0.968
57,692122,20171028,90.0,i,DES survey hex 533-116 tiling 8,0.969
58,672732,20170827,90.0,i,DES survey hex 148+47 tiling 8,0.971
59,669501,20170819,90.0,i,DES wide hex 348-532 tiling 9,0.971
60,678808,20170917,90.0,i,DES survey hex -399-623 tiling 7,0.972
61,678961,20170917,90.0,i,DES survey hex 435+26 tiling 7,0.972
62,677359,20170913,90.0,i,DES survey hex 180+26 tiling 9,0.972
63,686430,20171012,90.0,i,DES survey hex -394-440 tiling 8,0.972
64,680901,20170923,90.0,i,DES survey hex 61-268 tiling 8,0.972
65,688199,20171017,90.0,i,DES survey hex 236-511 tiling 8,0.972
66,681962,20170926,90.0,i,DES survey hex -331-14 tiling 7,0.972
67,687897,20171016,90.0,i,DES survey hex 52-55 tiling 9,0.974
68,689637,20171021,90.0,i,DES survey hex -235+6 tiling 9,0.975
69,689330,20171020,90.0,i,DES survey hex 241-532 tiling 8,0.976
70,669547,20170819,90.0,i,DES wide hex 473-400 tiling 9,0.976
71,689723,20171021,90.0,i,DES survey hex 68+16 tiling 9,0.977
