EXPNUM,NITE,EXPTIME,BAND,OBJECT,T_EFF
689608,20171021,90.00000000,i,DES survey hex -370-450 tiling 9,0.95100000
692050,20171028,90.00000000,i,DES survey hex 260-24 tiling 8,0.95100000
672771,20170827,90.00000000,i,DES survey hex 212+26 tiling 9,0.95100000
678958,20170917,90.00000000,i,DES survey hex 403+26 tiling 7,0.95200000
669509,20170819,90.00000000,i,DES wide hex 409-430 tiling 9,0.95200000
685684,20171010,90.00000000,i,DES survey hex -360-400 tiling 8,0.95200000
680514,20170922,90.00000000,i,DES survey hex -95-450 tiling 8,0.95300000
677215,20170913,90.00000000,i,DES survey hex -505-511 tiling 8,0.95300000
691693,20171027,90.00000000,i,DES survey hex 393-359 tiling 8,0.95300000
687837,20171016,90.00000000,i,DES survey hex -263-521 tiling 9,0.95400000
672088,20170825,90.00000000,i,DES wide hex 498-450 tiling 10,0.95500000
681912,20170926,90.00000000,i,DES survey hex -563-572 tiling 9,0.95500000
688915,20171019,90.00000000,i,DES survey hex 17-572 tiling 8,0.95500000
687749,20171016,90.00000000,i,DES survey hex -506-410 tiling 9,0.95500000
691249,20171026,90.00000000,i,DES survey hex 134-471 tiling 8,0.95600000
681534,20170925,90.00000000,i,DES survey hex -287-511 tiling 8,0.95600000
672406,20170826,90.00000000,i,DES survey hex 276+26 tiling 9,0.95600000
670392,20170821,90.00000000,i,DES survey hex -80-623 tiling 8,0.95600000
691219,20171026,90.00000000,i,DES survey hex -41-562 tiling 9,0.95600000
668026,20170816,90.00000000,i,DES survey hex -290-400 tiling 8,0.95600000
689640,20171021,90.00000000,i,DES survey hex -235-14 tiling 9,0.95600000
686530,20171012,90.00000000,i,DES survey hex 10-390 tiling 8,0.95700000
681526,20170925,90.00000000,i,DES survey hex -374-521 tiling 8,0.95700000
686510,20171012,90.00000000,i,DES survey hex 81-532 tiling 8,0.95700000
691295,20171026,90.00000000,i,DES survey hex 368-562 tiling 8,0.95700000
670010,20170820,90.00000000,i,DES survey hex 69-420 tiling 8,0.95800000
687838,20171016,90.00000000,i,DES survey hex -238-532 tiling 9,0.95900000
687843,20171016,90.00000000,i,DES survey hex -270-562 tiling 9,0.96000000
672394,20170826,90.00000000,i,DES survey hex 228-24 tiling 8,0.96000000
689041,20171019,90.00000000,i,DES survey hex 323-298 tiling 8,0.96000000
692494,20171029,90.00000000,i,DES survey hex 502-176 tiling 8,0.96000000
689625,20171021,90.00000000,i,DES survey hex -299+6 tiling 8,0.96100000
