index,EXPNUM,NITE,EXPTIME,BAND,OBJECT,T_EFF
0,692501,20171029,90.0,r,DES survey hex 468-176 tiling 8,0.791
1,672782,20170827,90.0,r,DES survey hex 148+6 tiling 8,0.791
2,692059,20171028,90.0,r,DES survey hex 340+6 tiling 8,0.792
3,689836,20171021,90.0,r,DES survey hex 427-542 tiling 8,0.792
4,689762,20171021,90.0,r,DES survey hex -12-491 tiling 9,0.793
5,689371,20171020,90.0,r,DES survey hex 326-410 tiling 8,0.793
6,691285,20171026,90.0,r,DES survey hex 420-643 tiling 8,0.794
7,689710,20171021,90.0,r,DES survey hex 68+37 tiling 9,0.794
9,691220,20171026,90.0,r,DES survey hex -66-572 tiling 9,0.794
10,694236,20171108,90.0,r,DES survey hex -73-552 tiling 9,0.795
11,686425,20171012,90.0,r,DES survey hex -347-461 tiling 8,0.795
12,691282,20171026,90.0,r,DES survey hex 346-643 tiling 8,0.795
13,671999,20170825,90.0,r,DES survey hex -111-501 tiling 8,0.796
14,694229,20171108,90.0,r,DES survey hex -87-603 tiling 9,0.797
15,687558,20171015,90.0,r,DES survey hex -251-420 tiling 9,0.797
16,681936,20170926,90.0,r,DES survey hex -415-450 tiling 8,0.798
17,680454,20170922,90.0,r,DES survey hex -390-461 tiling 7,0.799
18,691710,20171027,90.0,r,DES survey hex 688-562 tiling 7,0.8
19,671995,20170825,90.0,r,DES survey hex -162-481 tiling 8,0.8
20,691275,20171026,90.0,r,DES survey hex 295-603 tiling 8,0.8
21,687853,20171016,90.0,r,DES survey hex -294-420 tiling 9,0.8
22,689741,20171021,90.0,r,DES survey hex 339-75 tiling 8,0.801
23,668612,20170817,90.0,r,DES survey hex -217-623 tiling 7,0.801
24,678887,20170917,90.0,r,DES survey hex 4-24 tiling 8,0.801
25,681935,20170926,90.0,r,DES survey hex -439-440 tiling 8,0.802
26,680465,20170922,90.0,r,DES survey hex -456-491 tiling 8,0.804
27,682007,20170926,90.0,r,DES survey hex -108+6 tiling 8,0.804
28,680856,20170923,90.0,r,DES survey hex 116-55 tiling 8,0.804
29,681597,20170925,90.0,r,DES survey hex 56-521 tiling 8,0.805
30,677347,20170913,90.0,r,DES survey hex 308-14 tiling 7,0.805
31,668071,20170816,90.0,r,DES survey hex -33-481 tiling 8,0.806
32,681227,20170924,90.0,r,DES survey hex 108-521 tiling 7,0.807
33,689049,20171019,90.0,r,DES survey hex 318-339 tiling 8,0.807
34,689049,20171019,90.0,r,DES survey hex 318-339 tiling 8,0.807
35,693913,20171107,90.0,r,DES survey hex -30-440 tiling 9,0.808
36,680406,20170922,90.0,r,DES survey hex -463-410 tiling 8,0.808
37,688523,20171018,90.0,r,DES survey hex 174-390 tiling 8,0.808
38,672001,20170825,90.0,r,DES survey hex -88-491 tiling 8,0.808
39,680517,20170922,90.0,r,DES survey hex -79-420 tiling 8,0.808
40,681528,20170925,90.0,r,DES survey hex -352-511 tiling 8,0.809
41,681557,20170925,90.0,r,DES survey hex -219-643 tiling 9,0.809
42,677280,20170913,90.0,r,DES survey hex -219-643 tiling 8,0.811
43,689642,20171021,90.0,r,DES survey hex -219-4 tiling 9,0.811
44,687751,20171016,90.0,r,DES survey hex -463-410 tiling 9,0.812
45,681660,20170925,90.0,r,DES survey hex 285-197 tiling 8,0.813
46,681607,20170925,90.0,r,DES survey hex 60-501 tiling 8,0.814
47,672365,20170826,90.0,r,DES survey hex -9-379 tiling 7,0.814
48,672390,20170826,90.0,r,DES survey hex 196-65 tiling 8,0.815
49,689796,20171021,90.0,r,DES survey hex 218-410 tiling 8,0.815
50,688513,20171018,90.0,r,DES survey hex 156-440 tiling 7,0.815
51,671595,20170824,90.0,r,DES survey hex -290-400 tiling 8,0.816
52,681632,20170925,90.0,r,DES survey hex 132-227 tiling 8,0.816
53,682004,20170926,90.0,r,DES survey hex -124-4 tiling 8,0.816
54,682004,20170926,90.0,r,DES survey hex -124-4 tiling 8,0.816
55,694148,20171108,90.0,r,DES survey hex -140+6 tiling 8,0.816
56,689746,20171021,90.0,r,DES survey hex 339-55 tiling 8,0.817
57,680467,20170922,90.0,r,DES survey hex -430-501 tiling 8,0.817
58,672800,20170827,90.0,r,DES survey hex 196+37 tiling 9,0.817
59,670003,20170820,90.0,r,DES survey hex 46-430 tiling 8,0.817
60,689786,20171021,90.0,r,DES survey hex 155-420 tiling 8,0.818
61,691294,20171026,90.0,r,DES survey hex 368-562 tiling 8,0.819
62,694219,20171108,90.0,r,DES survey hex 240-623 tiling 8,0.819
63,668678,20170817,90.0,r,DES survey hex -80-623 tiling 6,0.819
64,687538,20171015,90.0,r,DES survey hex -332-491 tiling 9,0.82
65,693597,20171106,90.0,r,DES survey hex -50-450 tiling 9,0.82
66,680508,20170922,90.0,r,DES survey hex -208-440 tiling 9,0.821
67,689715,20171021,90.0,r,DES survey hex 36+37 tiling 9,0.821
69,689636,20171021,90.0,r,DES survey hex -235+6 tiling 9,0.823
70,672395,20170826,90.0,r,DES survey hex 228-24 tiling 8,0.823
71,686497,20171012,90.0,r,DES survey hex -184-592 tiling 9,0.823
72,689783,20171021,90.0,r,DES survey hex 133-410 tiling 8,0.824
73,681608,20170925,90.0,r,DES survey hex 37-491 tiling 8,0.824
74,680444,20170922,90.0,r,DES survey hex -421-410 tiling 8,0.824
75,681624,20170925,90.0,r,DES survey hex 78-278 tiling 8,0.825
76,672717,20170827,90.0,r,DES survey hex 20+26 tiling 7,0.825
77,692120,20171028,90.0,r,DES survey hex 517-126 tiling 8,0.825
