EXPNUM,NITE,EXPTIME,BAND,OBJECT,T_EFF
692501,20171029,90.00000000,r,DES survey hex 468-176 tiling 8,0.79100000
672782,20170827,90.00000000,r,DES survey hex 148+6 tiling 8,0.79100000
692059,20171028,90.00000000,r,DES survey hex 340+6 tiling 8,0.79200000
689836,20171021,90.00000000,r,DES survey hex 427-542 tiling 8,0.79200000
689762,20171021,90.00000000,r,DES survey hex -12-491 tiling 9,0.79300000
689371,20171020,90.00000000,r,DES survey hex 326-410 tiling 8,0.79300000
691285,20171026,90.00000000,r,DES survey hex 420-643 tiling 8,0.79400000
689710,20171021,90.00000000,r,DES survey hex 68+37 tiling 9,0.79400000
694603,20171109,90.00000000,r,DES survey hex 233-187 tiling 8,0.79400000
691220,20171026,90.00000000,r,DES survey hex -66-572 tiling 9,0.79400000
694236,20171108,90.00000000,r,DES survey hex -73-552 tiling 9,0.79500000
686425,20171012,90.00000000,r,DES survey hex -347-461 tiling 8,0.79500000
691282,20171026,90.00000000,r,DES survey hex 346-643 tiling 8,0.79500000
671999,20170825,90.00000000,r,DES survey hex -111-501 tiling 8,0.79600000
694229,20171108,90.00000000,r,DES survey hex -87-603 tiling 9,0.79700000
687558,20171015,90.00000000,r,DES survey hex -251-420 tiling 9,0.79700000
681936,20170926,90.00000000,r,DES survey hex -415-450 tiling 8,0.79800000
680454,20170922,90.00000000,r,DES survey hex -390-461 tiling 7,0.79900000
691710,20171027,90.00000000,r,DES survey hex 688-562 tiling 7,0.80000000
671995,20170825,90.00000000,r,DES survey hex -162-481 tiling 8,0.80000000
691275,20171026,90.00000000,r,DES survey hex 295-603 tiling 8,0.80000000
687853,20171016,90.00000000,r,DES survey hex -294-420 tiling 9,0.80000000
689741,20171021,90.00000000,r,DES survey hex 339-75 tiling 8,0.80100000
668612,20170817,90.00000000,r,DES survey hex -217-623 tiling 7,0.80100000
678887,20170917,90.00000000,r,DES survey hex 4-24 tiling 8,0.80100000
681935,20170926,90.00000000,r,DES survey hex -439-440 tiling 8,0.80200000
680465,20170922,90.00000000,r,DES survey hex -456-491 tiling 8,0.80400000
682007,20170926,90.00000000,r,DES survey hex -108+6 tiling 8,0.80400000
680856,20170923,90.00000000,r,DES survey hex 116-55 tiling 8,0.80400000
681597,20170925,90.00000000,r,DES survey hex 56-521 tiling 8,0.80500000
677347,20170913,90.00000000,r,DES survey hex 308-14 tiling 7,0.80500000
668071,20170816,90.00000000,r,DES survey hex -33-481 tiling 8,0.80600000
681227,20170924,90.00000000,r,DES survey hex 108-521 tiling 7,0.80700000
689049,20171019,90.00000000,r,DES survey hex 318-339 tiling 8,0.80700000
689049,20171019,90.00000000,r,DES survey hex 318-339 tiling 8,0.80700000
693913,20171107,90.00000000,r,DES survey hex -30-440 tiling 9,0.80800000
680406,20170922,90.00000000,r,DES survey hex -463-410 tiling 8,0.80800000
688523,20171018,90.00000000,r,DES survey hex 174-390 tiling 8,0.80800000
672001,20170825,90.00000000,r,DES survey hex -88-491 tiling 8,0.80800000
680517,20170922,90.00000000,r,DES survey hex -79-420 tiling 8,0.80800000
681528,20170925,90.00000000,r,DES survey hex -352-511 tiling 8,0.80900000
681557,20170925,90.00000000,r,DES survey hex -219-643 tiling 9,0.80900000
677280,20170913,90.00000000,r,DES survey hex -219-643 tiling 8,0.81100000
689642,20171021,90.00000000,r,DES survey hex -219-4 tiling 9,0.81100000
687751,20171016,90.00000000,r,DES survey hex -463-410 tiling 9,0.81200000
681660,20170925,90.00000000,r,DES survey hex 285-197 tiling 8,0.81300000
681607,20170925,90.00000000,r,DES survey hex 60-501 tiling 8,0.81400000
672365,20170826,90.00000000,r,DES survey hex -9-379 tiling 7,0.81400000
672390,20170826,90.00000000,r,DES survey hex 196-65 tiling 8,0.81500000
689796,20171021,90.00000000,r,DES survey hex 218-410 tiling 8,0.81500000
688513,20171018,90.00000000,r,DES survey hex 156-440 tiling 7,0.81500000
671595,20170824,90.00000000,r,DES survey hex -290-400 tiling 8,0.81600000
681632,20170925,90.00000000,r,DES survey hex 132-227 tiling 8,0.81600000
682004,20170926,90.00000000,r,DES survey hex -124-4 tiling 8,0.81600000
682004,20170926,90.00000000,r,DES survey hex -124-4 tiling 8,0.81600000
694148,20171108,90.00000000,r,DES survey hex -140+6 tiling 8,0.81600000
689746,20171021,90.00000000,r,DES survey hex 339-55 tiling 8,0.81700000
680467,20170922,90.00000000,r,DES survey hex -430-501 tiling 8,0.81700000
672800,20170827,90.00000000,r,DES survey hex 196+37 tiling 9,0.81700000
670003,20170820,90.00000000,r,DES survey hex 46-430 tiling 8,0.81700000
689786,20171021,90.00000000,r,DES survey hex 155-420 tiling 8,0.81800000
691294,20171026,90.00000000,r,DES survey hex 368-562 tiling 8,0.81900000
694219,20171108,90.00000000,r,DES survey hex 240-623 tiling 8,0.81900000
668678,20170817,90.00000000,r,DES survey hex -80-623 tiling 6,0.81900000
687538,20171015,90.00000000,r,DES survey hex -332-491 tiling 9,0.82000000
693597,20171106,90.00000000,r,DES survey hex -50-450 tiling 9,0.82000000
680508,20170922,90.00000000,r,DES survey hex -208-440 tiling 9,0.82100000
689715,20171021,90.00000000,r,DES survey hex 36+37 tiling 9,0.82100000
694580,20171109,90.00000000,r,DES survey hex 173-369 tiling 8,0.82300000
689636,20171021,90.00000000,r,DES survey hex -235+6 tiling 9,0.82300000
672395,20170826,90.00000000,r,DES survey hex 228-24 tiling 8,0.82300000
686497,20171012,90.00000000,r,DES survey hex -184-592 tiling 9,0.82300000
689783,20171021,90.00000000,r,DES survey hex 133-410 tiling 8,0.82400000
681608,20170925,90.00000000,r,DES survey hex 37-491 tiling 8,0.82400000
680444,20170922,90.00000000,r,DES survey hex -421-410 tiling 8,0.82400000
681624,20170925,90.00000000,r,DES survey hex 78-278 tiling 8,0.82500000
672717,20170827,90.00000000,r,DES survey hex 20+26 tiling 7,0.82500000
692120,20171028,90.00000000,r,DES survey hex 517-126 tiling 8,0.82500000
678771,20170917,90.00000000,r,DES survey hex -532-562 tiling 8,0.82600000
692114,20171028,90.00000000,r,DES survey hex 484-126 tiling 8,0.82600000
688901,20171019,90.00000000,r,DES survey hex -2-450 tiling 9,0.82600000
678763,20170917,90.00000000,r,DES survey hex -590-562 tiling 8,0.82700000
680452,20170922,90.00000000,r,DES survey hex -433-481 tiling 7,0.82800000
689639,20171021,90.00000000,r,DES survey hex -235-14 tiling 9,0.82800000
687952,20171016,90.00000000,r,DES survey hex 260-410 tiling 8,0.82800000
691288,20171026,90.00000000,r,DES survey hex 364-582 tiling 8,0.82800000
668660,20170817,90.00000000,r,DES survey hex 108-521 tiling 6,0.83000000
691686,20171027,90.00000000,r,DES survey hex 314-359 tiling 8,0.83000000
691292,20171026,90.00000000,r,DES survey hex 337-572 tiling 8,0.83100000
