index,EXPNUM,NITE,EXPTIME,BAND,OBJECT,T_EFF
0,693139,20171031,90.0,z,DES survey hex 288-390 tiling 8,0.901
1,693163,20171031,90.0,z,DES survey hex 287-582 tiling 7,0.901
2,681513,20170925,90.0,z,DES survey hex -422-542 tiling 7,0.901
3,686567,20171012,90.0,z,DES survey hex 271-227 tiling 7,0.902
4,693132,20171031,90.0,z,DES survey hex 386-146 tiling 9,0.902
5,690803,20171025,90.0,z,DES survey hex -283+16 tiling 8,0.902
6,689005,20171019,90.0,z,DES survey hex 77-298 tiling 8,0.902
7,693009,20171031,90.0,z,DES survey hex 257-258 tiling 8,0.903
8,691201,20171026,90.0,z,DES survey hex 49-562 tiling 8,0.903
9,693009,20171031,90.0,z,DES survey hex 257-258 tiling 8,0.903
10,680866,20170923,90.0,z,DES survey hex 164-24 tiling 9,0.903
11,680866,20170923,90.0,z,DES survey hex 164-24 tiling 9,0.903
12,692977,20171031,90.0,z,DES survey hex -243-572 tiling 9,0.903
13,689774,20171021,90.0,z,DES survey hex 51-390 tiling 8,0.903
14,693001,20171031,90.0,z,DES survey hex -411-471 tiling 9,0.903
15,674347,20170901,90.0,z,DES survey hex -270-562 tiling 7,0.904
16,692997,20171031,90.0,z,DES survey hex -391-643 tiling 9,0.905
17,692976,20171031,90.0,z,DES survey hex -316-613 tiling 9,0.906
18,694366,20171108,90.0,z,DES survey hex 518-592 tiling 7,0.906
19,691982,20171028,90.0,z,DES survey hex 4+16 tiling 9,0.907
20,693154,20171031,90.0,z,DES survey hex 269-613 tiling 7,0.907
21,694361,20171108,90.0,z,DES survey hex 614-603 tiling 7,0.908
22,680865,20170923,90.0,z,DES survey hex 164+16 tiling 8,0.908
23,694364,20171108,90.0,z,DES survey hex 522-613 tiling 7,0.908
24,690806,20171025,90.0,z,DES survey hex -251+16 tiling 8,0.909
25,693180,20171031,90.0,z,DES survey hex 423-603 tiling 7,0.909
26,674343,20170901,90.0,z,DES survey hex -263-521 tiling 7,0.909
27,691125,20171026,90.0,z,DES survey hex -102-410 tiling 9,0.909
28,684016,20171002,90.0,z,DES survey hex 600-491 tiling 7,0.91
29,691191,20171026,90.0,z,DES survey hex -5-633 tiling 8,0.91
30,693148,20171031,90.0,z,DES survey hex 241-532 tiling 8,0.91
31,691892,20171028,90.0,z,DES survey hex -352-582 tiling 9,0.911
32,693166,20171031,90.0,z,DES survey hex 318-542 tiling 7,0.912
33,693003,20171031,90.0,z,DES survey hex 179-450 tiling 7,0.912
34,691550,20171027,90.0,z,DES survey hex 19-461 tiling 9,0.913
35,692392,20171029,90.0,z,DES survey hex 72-379 tiling 8,0.913
36,681902,20170926,90.0,z,DES survey hex -528-461 tiling 9,0.913
37,693015,20171031,90.0,z,DES survey hex 299-197 tiling 7,0.913
38,692368,20171029,90.0,z,DES survey hex 230-126 tiling 7,0.914
39,685836,20171010,90.0,z,DES survey hex 401-197 tiling 8,0.914
40,681465,20170925,90.0,z,DES survey hex -441-420 tiling 8,0.914
42,692376,20171029,90.0,z,DES survey hex 306-75 tiling 8,0.915
43,674337,20170901,90.0,z,DES survey hex -255-461 tiling 8,0.915
45,693181,20171031,90.0,z,DES survey hex 494-643 tiling 8,0.916
46,693019,20171031,90.0,z,DES survey hex 369-156 tiling 8,0.917
47,693099,20171031,90.0,z,DES survey hex 419-65 tiling 8,0.917
48,692310,20171029,90.0,z,DES survey hex -214-582 tiling 9,0.918
49,692336,20171029,90.0,z,DES survey hex 132-247 tiling 7,0.918
50,689753,20171021,90.0,z,DES survey hex 70-613 tiling 9,0.919
51,681461,20170925,90.0,z,DES survey hex -506-410 tiling 9,0.919
52,693104,20171031,90.0,z,DES survey hex 353-126 tiling 8,0.92
53,691551,20171027,90.0,z,DES survey hex -27-461 tiling 9,0.921
54,691890,20171028,90.0,z,DES survey hex -328-562 tiling 9,0.921
55,692388,20171029,90.0,z,DES survey hex 93-369 tiling 8,0.921
56,691486,20171027,90.0,z,DES survey hex -234-491 tiling 9,0.921
57,692981,20171031,90.0,z,DES survey hex -422-542 tiling 9,0.921
