EXPNUM,NITE,EXPTIME,BAND,OBJECT,T_EFF
693139,20171031,90.00000000,z,DES survey hex 288-390 tiling 8,0.90100000
693163,20171031,90.00000000,z,DES survey hex 287-582 tiling 7,0.90100000
681513,20170925,90.00000000,z,DES survey hex -422-542 tiling 7,0.90100000
686567,20171012,90.00000000,z,DES survey hex 271-227 tiling 7,0.90200000
693132,20171031,90.00000000,z,DES survey hex 386-146 tiling 9,0.90200000
690803,20171025,90.00000000,z,DES survey hex -283+16 tiling 8,0.90200000
689005,20171019,90.00000000,z,DES survey hex 77-298 tiling 8,0.90200000
693009,20171031,90.00000000,z,DES survey hex 257-258 tiling 8,0.90300000
691201,20171026,90.00000000,z,DES survey hex 49-562 tiling 8,0.90300000
693009,20171031,90.00000000,z,DES survey hex 257-258 tiling 8,0.90300000
680866,20170923,90.00000000,z,DES survey hex 164-24 tiling 9,0.90300000
680866,20170923,90.00000000,z,DES survey hex 164-24 tiling 9,0.90300000
692977,20171031,90.00000000,z,DES survey hex -243-572 tiling 9,0.90300000
689774,20171021,90.00000000,z,DES survey hex 51-390 tiling 8,0.90300000
693001,20171031,90.00000000,z,DES survey hex -411-471 tiling 9,0.90300000
674347,20170901,90.00000000,z,DES survey hex -270-562 tiling 7,0.90400000
692997,20171031,90.00000000,z,DES survey hex -391-643 tiling 9,0.90500000
692976,20171031,90.00000000,z,DES survey hex -316-613 tiling 9,0.90600000
694366,20171108,90.00000000,z,DES survey hex 518-592 tiling 7,0.90600000
691982,20171028,90.00000000,z,DES survey hex 4+16 tiling 9,0.90700000
693154,20171031,90.00000000,z,DES survey hex 269-613 tiling 7,0.90700000
694361,20171108,90.00000000,z,DES survey hex 614-603 tiling 7,0.90800000
680865,20170923,90.00000000,z,DES survey hex 164+16 tiling 8,0.90800000
694364,20171108,90.00000000,z,DES survey hex 522-613 tiling 7,0.90800000
690806,20171025,90.00000000,z,DES survey hex -251+16 tiling 8,0.90900000
693180,20171031,90.00000000,z,DES survey hex 423-603 tiling 7,0.90900000
674343,20170901,90.00000000,z,DES survey hex -263-521 tiling 7,0.90900000
691125,20171026,90.00000000,z,DES survey hex -102-410 tiling 9,0.90900000
684016,20171002,90.00000000,z,DES survey hex 600-491 tiling 7,0.91000000
691191,20171026,90.00000000,z,DES survey hex -5-633 tiling 8,0.91000000
693148,20171031,90.00000000,z,DES survey hex 241-532 tiling 8,0.91000000
691892,20171028,90.00000000,z,DES survey hex -352-582 tiling 9,0.91100000
693166,20171031,90.00000000,z,DES survey hex 318-542 tiling 7,0.91200000
693003,20171031,90.00000000,z,DES survey hex 179-450 tiling 7,0.91200000
691550,20171027,90.00000000,z,DES survey hex 19-461 tiling 9,0.91300000
692392,20171029,90.00000000,z,DES survey hex 72-379 tiling 8,0.91300000
681902,20170926,90.00000000,z,DES survey hex -528-461 tiling 9,0.91300000
693015,20171031,90.00000000,z,DES survey hex 299-197 tiling 7,0.91300000
692368,20171029,90.00000000,z,DES survey hex 230-126 tiling 7,0.91400000
685836,20171010,90.00000000,z,DES survey hex 401-197 tiling 8,0.91400000
681465,20170925,90.00000000,z,DES survey hex -441-420 tiling 8,0.91400000
694694,20171109,90.00000000,z,DES survey hex 348-532 tiling 8,0.91400000
692376,20171029,90.00000000,z,DES survey hex 306-75 tiling 8,0.91500000
674337,20170901,90.00000000,z,DES survey hex -255-461 tiling 8,0.91500000
694702,20171109,90.00000000,z,DES survey hex 384-461 tiling 8,0.91500000
693181,20171031,90.00000000,z,DES survey hex 494-643 tiling 8,0.91600000
693019,20171031,90.00000000,z,DES survey hex 369-156 tiling 8,0.91700000
693099,20171031,90.00000000,z,DES survey hex 419-65 tiling 8,0.91700000
692310,20171029,90.00000000,z,DES survey hex -214-582 tiling 9,0.91800000
692336,20171029,90.00000000,z,DES survey hex 132-247 tiling 7,0.91800000
689753,20171021,90.00000000,z,DES survey hex 70-613 tiling 9,0.91900000
681461,20170925,90.00000000,z,DES survey hex -506-410 tiling 9,0.91900000
693104,20171031,90.00000000,z,DES survey hex 353-126 tiling 8,0.92000000
691551,20171027,90.00000000,z,DES survey hex -27-461 tiling 9,0.92100000
691890,20171028,90.00000000,z,DES survey hex -328-562 tiling 9,0.92100000
692388,20171029,90.00000000,z,DES survey hex 93-369 tiling 8,0.92100000
691486,20171027,90.00000000,z,DES survey hex -234-491 tiling 9,0.92100000
692981,20171031,90.00000000,z,DES survey hex -422-542 tiling 9,0.92100000
682455,20170927,90.00000000,z,DES survey hex 19-461 tiling 8,0.92200000
694307,20171108,90.00000000,z,DES survey hex 229-339 tiling 7,0.92300000
692998,20171031,90.00000000,z,DES survey hex -406-603 tiling 9,0.92300000
691899,20171028,90.00000000,z,DES survey hex -219-643 tiling 9,0.92400000
686454,20171012,90.00000000,z,DES survey hex -309-592 tiling 8,0.92400000
677407,20170913,90.00000000,z,DES survey hex 331-217 tiling 7,0.92500000
677407,20170913,90.00000000,z,DES survey hex 331-217 tiling 7,0.92500000
677407,20170913,90.00000000,z,DES survey hex 331-217 tiling 7,0.92500000
689775,20171021,90.00000000,z,DES survey hex 53-369 tiling 9,0.92500000
680688,20170923,90.00000000,z,DES survey hex -468-623 tiling 8,0.92600000
691908,20171028,90.00000000,z,DES survey hex -129-552 tiling 9,0.92600000
691991,20171028,90.00000000,z,DES survey hex 3-65 tiling 9,0.92700000
689610,20171021,90.00000000,z,DES survey hex -341-440 tiling 9,0.92800000
689607,20171021,90.00000000,z,DES survey hex -370-450 tiling 9,0.92800000
691901,20171028,90.00000000,z,DES survey hex -286-623 tiling 9,0.92900000
693179,20171031,90.00000000,z,DES survey hex 393-592 tiling 7,0.92900000
692333,20171029,90.00000000,z,DES survey hex -32-511 tiling 9,0.92900000
692328,20171029,90.00000000,z,DES survey hex -18-511 tiling 9,0.93000000
682100,20170926,90.00000000,z,DES survey hex 132-45 tiling 9,0.93000000
684014,20171002,90.00000000,z,DES survey hex 547-471 tiling 7,0.93000000
691904,20171028,90.00000000,z,DES survey hex -149-623 tiling 9,0.93100000
685799,20171010,90.00000000,z,DES survey hex 69-420 tiling 7,0.93100000
674327,20170901,90.00000000,z,DES survey hex -207-400 tiling 8,0.93200000
694368,20171108,90.00000000,z,DES survey hex 536-542 tiling 8,0.93200000
692053,20171028,90.00000000,z,DES survey hex 260-4 tiling 8,0.93300000
693147,20171031,90.00000000,z,DES survey hex 221-562 tiling 7,0.93300000
693138,20171031,90.00000000,z,DES survey hex 307-400 tiling 8,0.93300000
694701,20171109,90.00000000,z,DES survey hex 360-471 tiling 8,0.93300000
685828,20171010,90.00000000,z,DES survey hex 314-359 tiling 7,0.93300000
681502,20170925,90.00000000,z,DES survey hex -399-623 tiling 8,0.93400000
693032,20171031,90.00000000,z,DES survey hex 191-339 tiling 8,0.93500000
692387,20171029,90.00000000,z,DES survey hex 92-390 tiling 8,0.93500000
685824,20171010,90.00000000,z,DES survey hex 288-390 tiling 7,0.93500000
692381,20171029,90.00000000,z,DES survey hex 65-461 tiling 8,0.93600000
693133,20171031,90.00000000,z,DES survey hex 386-126 tiling 9,0.93600000
689728,20171021,90.00000000,z,DES survey hex 84-14 tiling 8,0.93700000
691955,20171028,90.00000000,z,DES survey hex 41-298 tiling 9,0.93800000
678952,20170917,90.00000000,z,DES survey hex 196-45 tiling 9,0.93800000
691979,20171028,90.00000000,z,DES survey hex 52+6 tiling 9,0.93800000
686450,20171012,90.00000000,z,DES survey hex -421-410 tiling 8,0.93900000
691925,20171028,90.00000000,z,DES survey hex -48-542 tiling 9,0.93900000
691925,20171028,90.00000000,z,DES survey hex -48-542 tiling 9,0.93900000
684015,20171002,90.00000000,z,DES survey hex 573-481 tiling 7,0.94000000
675275,20170906,90.00000000,z,DES survey hex 556-227 tiling 8,0.94000000
693020,20171031,90.00000000,z,DES survey hex 351-187 tiling 9,0.94000000
674344,20170901,90.00000000,z,DES survey hex -266-542 tiling 7,0.94000000
694302,20171108,90.00000000,z,DES survey hex 174-390 tiling 8,0.94000000
674354,20170901,90.00000000,z,DES survey hex -185-511 tiling 8,0.94100000
692383,20171029,90.00000000,z,DES survey hex 69-420 tiling 8,0.94300000
693021,20171031,90.00000000,z,DES survey hex 349-207 tiling 8,0.94400000
692992,20171031,90.00000000,z,DES survey hex -344-603 tiling 9,0.94500000
686466,20171012,90.00000000,z,DES survey hex -219-643 tiling 8,0.94600000
674335,20170901,90.00000000,z,DES survey hex -251-420 tiling 8,0.94700000
681522,20170925,90.00000000,z,DES survey hex -430-501 tiling 8,0.94700000
683965,20171002,90.00000000,z,DES survey hex 468-176 tiling 8,0.94700000
685821,20171010,90.00000000,z,DES survey hex 209-329 tiling 7,0.94800000
670466,20170821,90.00000000,z,DES survey hex 307+47 tiling 8,0.94800000
691903,20171028,90.00000000,z,DES survey hex -184-592 tiling 9,0.94800000
691959,20171028,90.00000000,z,DES survey hex 6-410 tiling 9,0.94800000
692295,20171029,90.00000000,z,DES survey hex -463-410 tiling 9,0.94900000
690814,20171025,90.00000000,z,DES survey hex -44-14 tiling 8,0.94900000
689749,20171021,90.00000000,z,DES survey hex 355+37 tiling 9,0.94900000
