EXPNUM,NITE,EXPTIME,BAND,OBJECT,T_EFF
566603,20160822,45.00000000,Y,DES survey hex 289-278 tiling 6,3.08299994
566606,20160822,45.00000000,Y,DES survey hex 603-410 tiling 5,2.21600008
566607,20160822,45.00000000,Y,DES survey hex 294-532 tiling 6,1.51900005
566608,20160822,45.00000000,Y,DES survey hex 289-349 tiling 6,2.40700006
566609,20160822,45.00000000,Y,DES survey hex 267-339 tiling 6,2.13000011
566610,20160822,45.00000000,Y,DES survey hex 43-450 tiling 5,2.22600007
566611,20160822,45.00000000,Y,DES survey hex 84-55 tiling 5,1.52400005
566612,20160822,45.00000000,Y,DES survey hex 580-592 tiling 5,1.40699995
566613,20160822,45.00000000,Y,DES survey hex 614-532 tiling 5,1.58000004
566614,20160822,45.00000000,Y,DES survey hex 664-268 tiling 5,1.57599998
566615,20160822,45.00000000,Y,DES survey hex 698-501 tiling 5,1.35800004
566616,20160822,45.00000000,Y,DES survey hex 718-552 tiling 5,1.58800006
566617,20160822,45.00000000,Y,DES survey hex 722-511 tiling 5,1.23099995
566618,20160822,45.00000000,Y,DES survey hex 748-501 tiling 5,1.08700001
566620,20160822,45.00000000,Y,DES survey hex 265-521 tiling 6,1.51600003
567007,20160823,45.00000000,Y,DES survey hex 724-491 tiling 5,1.03900003
567015,20160823,45.00000000,Y,DES survey hex 805-187 tiling 5,1.16900003
567016,20160823,45.00000000,Y,DES survey hex 736-247 tiling 5,1.36000001
567017,20160823,45.00000000,Y,DES survey hex 729-430 tiling 5,1.11800003
567018,20160823,45.00000000,Y,DES survey hex 727-450 tiling 5,1.30100000
567019,20160823,45.00000000,Y,DES survey hex 751-420 tiling 5,1.13699996
567020,20160823,45.00000000,Y,DES survey hex 750-440 tiling 5,1.09200001
567021,20160823,45.00000000,Y,DES survey hex 773-450 tiling 5,1.00800002
567022,20160823,45.00000000,Y,DES survey hex 773-471 tiling 5,0.93800002
567025,20160823,45.00000000,Y,DES survey hex 745-562 tiling 5,0.90100002
567028,20160823,45.00000000,Y,DES survey hex 735-288 tiling 5,1.28600001
567029,20160823,45.00000000,Y,DES survey hex 771-247 tiling 5,1.16400003
567030,20160823,45.00000000,Y,DES survey hex 789-237 tiling 5,1.00600004
567031,20160823,45.00000000,Y,DES survey hex 754-237 tiling 5,0.90100002
567032,20160823,45.00000000,Y,DES survey hex 771-227 tiling 5,0.94700003
573040,20160909,45.00000000,Y,Alhambra-8 hex 001 tiling 1,1.00399995
573043,20160909,45.00000000,Y,Alhambra-8 hex 001 tiling 2,1.10699999
573046,20160909,45.00000000,Y,Alhambra-8 hex 001 tiling 3,1.39900005
573049,20160909,45.00000000,Y,Alhambra-8 hex 001 tiling 4,1.23800004
573052,20160909,45.00000000,Y,Alhambra-8 hex 001 tiling 5,1.21099997
573055,20160909,45.00000000,Y,Alhambra-8 hex 001 tiling 6,1.40199995
