EXPNUM,NITE,EXPTIME,BAND,OBJECT,T_EFF
567855,20160825,90.00000000,g,DES survey hex -251-4 tiling 5,0.93900001
567858,20160825,90.00000000,g,DES survey hex -267+6 tiling 5,0.97200000
567862,20160825,90.00000000,g,DES survey hex -30-440 tiling 5,1.23699999
567865,20160825,90.00000000,g,DES survey hex -293-643 tiling 5,0.99599999
568731,20160828,90.00000000,g,DES survey hex 133-349 tiling 5,1.38999999
568734,20160828,90.00000000,g,DES survey hex 152-339 tiling 5,1.35399997
568736,20160828,90.00000000,g,DES survey hex 172-349 tiling 5,1.26199996
568738,20160828,90.00000000,g,DES survey hex 191-339 tiling 5,1.24600005
568742,20160828,90.00000000,g,DES survey hex 173-369 tiling 5,1.31400001
568745,20160828,90.00000000,g,DES survey hex 153-359 tiling 5,1.25699997
568751,20160828,90.00000000,g,DES survey hex 113-359 tiling 5,0.94199997
568754,20160828,90.00000000,g,DES survey hex 133-390 tiling 5,0.94199997
568757,20160828,90.00000000,g,DES survey hex 153-379 tiling 5,0.92799997
568761,20160828,90.00000000,g,DES survey hex 194-379 tiling 5,0.94099998
568763,20160828,90.00000000,g,DES survey hex 196-400 tiling 5,0.94099998
568765,20160828,90.00000000,g,DES survey hex 198-420 tiling 5,1.18799996
568767,20160828,90.00000000,g,DES survey hex 200-440 tiling 5,1.15699995
568768,20160828,90.00000000,g,DES survey hex 203-461 tiling 5,0.99100000
568770,20160828,90.00000000,g,DES survey hex 206-481 tiling 5,1.23899996
569155,20160829,90.00000000,g,DES survey hex 179-450 tiling 5,1.10200000
569171,20160829,90.00000000,g,DES survey hex 188-298 tiling 5,0.92900002
569173,20160829,90.00000000,g,DES survey hex 170-308 tiling 5,0.93900001
569175,20160829,90.00000000,g,DES survey hex 151-298 tiling 5,0.92299998
569179,20160829,90.00000000,g,DES survey hex 151-278 tiling 5,1.04600000
569180,20160829,90.00000000,g,DES survey hex 169-288 tiling 5,0.98600000
569181,20160829,90.00000000,g,DES survey hex 187-278 tiling 5,0.92400002
569183,20160829,90.00000000,g,DES survey hex 186-258 tiling 5,1.02900004
569185,20160829,90.00000000,g,DES survey hex 168-268 tiling 5,1.04299998
569187,20160829,90.00000000,g,DES survey hex 168-247 tiling 5,1.00600004
569188,20160829,90.00000000,g,DES survey hex 185-237 tiling 5,0.98799998
569190,20160829,90.00000000,g,DES survey hex 184-217 tiling 5,1.06200004
569192,20160829,90.00000000,g,DES survey hex 301-176 tiling 5,1.07099998
569195,20160829,90.00000000,g,DES survey hex 317-187 tiling 5,0.98600000
569222,20160829,90.00000000,g,DES survey hex 209-501 tiling 5,0.96399999
569228,20160829,90.00000000,g,DES survey hex 194-572 tiling 5,0.90499997
569236,20160829,90.00000000,g,DES survey hex 162-542 tiling 5,0.93800002
569239,20160829,90.00000000,g,DES survey hex 135-552 tiling 5,1.11300004
569242,20160829,90.00000000,g,DES survey hex 135-572 tiling 5,1.02100003
569243,20160829,90.00000000,g,DES survey hex 166-582 tiling 5,1.10500002
569245,20160829,90.00000000,g,DES survey hex 168-603 tiling 5,1.03100002
569637,20160830,90.00000000,g,DES survey hex 167-227 tiling 5,1.02699995
569640,20160830,90.00000000,g,DES survey hex 171-329 tiling 5,1.30700004
569641,20160830,90.00000000,g,DES survey hex 152-318 tiling 5,1.20799994
569644,20160830,90.00000000,g,DES survey hex 133-329 tiling 5,1.12300003
569647,20160830,90.00000000,g,DES survey hex 114-318 tiling 5,1.10000002
569650,20160830,90.00000000,g,DES survey hex 114-339 tiling 5,1.08700001
569653,20160830,90.00000000,g,DES survey hex 154-400 tiling 5,1.14900005
569849,20160831,90.00000000,g,DES survey hex 134-450 tiling 5,1.20700002
569867,20160831,90.00000000,g,DES survey hex 53-542 tiling 5,0.92900002
569870,20160831,90.00000000,g,DES survey hex 81-532 tiling 5,1.28699994
569873,20160831,90.00000000,g,DES survey hex 108-521 tiling 5,1.09200001
569876,20160831,90.00000000,g,DES survey hex 56-521 tiling 5,1.23899996
