EXPNUM,NITE,EXPTIME,BAND,OBJECT,T_EFF
566564,20160822,90.00000000,i,DES survey hex -337-420 tiling 5,1.34500003
566565,20160822,90.00000000,i,DES survey hex -313-410 tiling 5,1.44599998
566941,20160823,90.00000000,i,DES survey hex -275-582 tiling 5,0.92699999
566943,20160823,90.00000000,i,DES survey hex -380-501 tiling 5,0.98500001
566944,20160823,90.00000000,i,DES survey hex -216-603 tiling 1,0.91700000
566949,20160823,90.00000000,i,DES survey hex -355-410 tiling 5,1.21599996
566952,20160823,90.00000000,i,DES survey hex -355-420 tiling 5,1.09500003
566956,20160823,90.00000000,i,DES survey hex -379-410 tiling 5,1.35399997
567403,20160824,90.00000000,i,DES survey hex -374-430 tiling 5,0.96600002
567468,20160824,90.00000000,i,DES survey hex 164-4 tiling 5,0.92199999
567471,20160824,90.00000000,i,DES survey hex 180-14 tiling 5,1.00899994
567472,20160824,90.00000000,i,DES survey hex 196-24 tiling 5,1.04400003
567852,20160825,90.00000000,i,DES survey hex -235+6 tiling 5,1.03499997
567856,20160825,90.00000000,i,DES survey hex -267+6 tiling 5,1.20599997
567859,20160825,90.00000000,i,DES survey hex -283-4 tiling 5,1.21099997
567863,20160825,90.00000000,i,DES survey hex -5-633 tiling 5,1.12899995
567944,20160825,90.00000000,i,DES survey hex 187-278 tiling 5,0.91000003
567947,20160825,90.00000000,i,DES survey hex 151-278 tiling 5,0.91900003
568729,20160828,90.00000000,i,DES survey hex 133-349 tiling 5,1.52999997
568733,20160828,90.00000000,i,DES survey hex 152-339 tiling 5,1.99600005
568743,20160828,90.00000000,i,DES survey hex 153-359 tiling 5,1.67999995
568746,20160828,90.00000000,i,DES survey hex 133-369 tiling 5,1.46599996
568749,20160828,90.00000000,i,DES survey hex 113-359 tiling 5,1.21700001
568752,20160828,90.00000000,i,DES survey hex 133-390 tiling 5,1.01300001
568755,20160828,90.00000000,i,DES survey hex 153-379 tiling 5,1.40300000
568772,20160828,90.00000000,i,DES survey hex 301-511 tiling 5,1.24600005
568779,20160828,90.00000000,i,DES survey hex 182-156 tiling 5,0.99299997
568783,20160828,90.00000000,i,DES survey hex 166-166 tiling 5,1.09399998
568788,20160828,90.00000000,i,DES survey hex 166-187 tiling 5,0.99400002
568805,20160828,90.00000000,i,DES survey hex 353-146 tiling 5,1.03499997
568807,20160828,90.00000000,i,DES survey hex 369-136 tiling 5,0.93800002
568809,20160828,90.00000000,i,DES survey hex 337-136 tiling 5,0.98199999
568813,20160828,90.00000000,i,DES survey hex 335-156 tiling 5,1.05700004
568814,20160828,90.00000000,i,DES survey hex 352-166 tiling 5,1.03799999
568815,20160828,90.00000000,i,DES survey hex 369-156 tiling 5,1.03100002
568816,20160828,90.00000000,i,DES survey hex 402-156 tiling 5,0.96499997
568817,20160828,90.00000000,i,DES survey hex 419-146 tiling 5,1.15199995
568821,20160828,90.00000000,i,DES survey hex 400-217 tiling 5,0.98100001
569134,20160829,90.00000000,i,DES survey hex -283+16 tiling 5,1.12500000
569137,20160829,90.00000000,i,DES survey hex -315+16 tiling 5,1.11300004
569145,20160829,90.00000000,i,DES survey hex -347+16 tiling 5,1.10000002
569154,20160829,90.00000000,i,DES survey hex 179-450 tiling 5,1.67200005
569157,20160829,90.00000000,i,DES survey hex 181-471 tiling 5,2.05299997
569194,20160829,90.00000000,i,DES survey hex 317-187 tiling 5,1.29900002
569197,20160829,90.00000000,i,DES survey hex 334-176 tiling 5,1.22099996
569226,20160829,90.00000000,i,DES survey hex 166-582 tiling 5,1.43499994
569229,20160829,90.00000000,i,DES survey hex 164-562 tiling 5,1.18499994
569234,20160829,90.00000000,i,DES survey hex 162-542 tiling 5,1.54600000
569238,20160829,90.00000000,i,DES survey hex 135-552 tiling 5,1.51400006
569241,20160829,90.00000000,i,DES survey hex 135-572 tiling 5,1.44500005
569249,20160829,90.00000000,i,DES survey hex 185-511 tiling 5,1.87100005
569250,20160829,90.00000000,i,DES survey hex 159-501 tiling 5,1.83899999
569251,20160829,90.00000000,i,DES survey hex 134-511 tiling 5,1.51800001
569252,20160829,90.00000000,i,DES survey hex 109-501 tiling 5,1.57900000
569253,20160829,90.00000000,i,DES survey hex 83-511 tiling 5,1.34300005
569561,20160830,90.00000000,i,DES survey hex -325-633 tiling 5,1.02400005
569569,20160830,90.00000000,i,DES survey hex -352-582 tiling 5,0.99299997
569584,20160830,90.00000000,i,DES survey hex 149-176 tiling 5,0.94199997
569588,20160830,90.00000000,i,DES survey hex 4+16 tiling 5,0.97100002
569597,20160830,90.00000000,i,DES survey hex 100-65 tiling 5,1.31599998
569638,20160830,90.00000000,i,DES survey hex 152-318 tiling 5,1.61000001
569643,20160830,90.00000000,i,DES survey hex 133-329 tiling 5,1.44099998
569645,20160830,90.00000000,i,DES survey hex 114-318 tiling 5,1.48099995
569649,20160830,90.00000000,i,DES survey hex 114-339 tiling 5,1.67999995
569652,20160830,90.00000000,i,DES survey hex 154-400 tiling 5,1.65499997
569847,20160831,90.00000000,i,DES survey hex 134-450 tiling 5,1.25399995
569854,20160831,90.00000000,i,DES survey hex -378-592 tiling 5,1.04499996
569869,20160831,90.00000000,i,DES survey hex 81-532 tiling 5,1.33899999
569872,20160831,90.00000000,i,DES survey hex 108-521 tiling 5,1.20000005
569875,20160831,90.00000000,i,DES survey hex 56-521 tiling 5,1.38499999
569877,20160831,90.00000000,i,DES survey hex 28-532 tiling 5,1.13000000
569881,20160831,90.00000000,i,DES survey hex 33-511 tiling 5,1.04600000
569883,20160831,90.00000000,i,DES survey hex 60-501 tiling 5,1.16999996
569915,20160831,90.00000000,i,DES survey hex 322-430 tiling 5,1.03400004
569917,20160831,90.00000000,i,DES survey hex 342-440 tiling 5,1.16400003
569921,20160831,90.00000000,i,DES survey hex 345-420 tiling 5,1.23099995
569924,20160831,90.00000000,i,DES survey hex 156-440 tiling 5,1.18799996
569926,20160831,90.00000000,i,DES survey hex 111-440 tiling 5,0.94099998
569930,20160831,90.00000000,i,DES survey hex 133-430 tiling 5,0.94300002
569963,20160831,90.00000000,i,DES survey hex 149-197 tiling 5,0.91200000
569966,20160831,90.00000000,i,DES survey hex 149-217 tiling 5,1.02900004
570159,20160901,90.00000000,i,DES survey hex -364-471 tiling 5,1.10200000
570439,20160902,90.00000000,i,DES survey hex 132-207 tiling 5,0.91700000
570445,20160902,90.00000000,i,DES survey hex -390-461 tiling 5,0.93099999
571792,20160906,90.00000000,i,DES survey hex 43-450 tiling 5,0.97799999
571795,20160906,90.00000000,i,DES survey hex 67-440 tiling 5,1.00600004
571798,20160906,90.00000000,i,DES survey hex 90-430 tiling 5,1.05599999
