EXPNUM,NITE,EXPTIME,BAND,OBJECT,T_EFF
567854,20160825,90.00000000,r,DES survey hex -251-4 tiling 5,0.94499999
567857,20160825,90.00000000,r,DES survey hex -267+6 tiling 5,0.92000002
567860,20160825,90.00000000,r,DES survey hex -283-4 tiling 5,0.90600002
567864,20160825,90.00000000,r,DES survey hex -293-643 tiling 5,1.03999996
568730,20160828,90.00000000,r,DES survey hex 133-349 tiling 5,1.51400006
568732,20160828,90.00000000,r,DES survey hex 152-339 tiling 5,1.33700001
568735,20160828,90.00000000,r,DES survey hex 172-349 tiling 5,1.45200002
568737,20160828,90.00000000,r,DES survey hex 191-339 tiling 5,1.47300005
568739,20160828,90.00000000,r,DES survey hex 192-359 tiling 5,1.45899999
568741,20160828,90.00000000,r,DES survey hex 173-369 tiling 5,1.34800005
568744,20160828,90.00000000,r,DES survey hex 153-359 tiling 5,1.30400002
568747,20160828,90.00000000,r,DES survey hex 133-369 tiling 5,0.90799999
568750,20160828,90.00000000,r,DES survey hex 113-359 tiling 5,0.93900001
568753,20160828,90.00000000,r,DES survey hex 133-390 tiling 5,1.00100005
568756,20160828,90.00000000,r,DES survey hex 153-379 tiling 5,1.09899998
568758,20160828,90.00000000,r,DES survey hex 174-390 tiling 5,0.99199998
568760,20160828,90.00000000,r,DES survey hex 194-379 tiling 5,0.95999998
568762,20160828,90.00000000,r,DES survey hex 196-400 tiling 5,1.03699994
568764,20160828,90.00000000,r,DES survey hex 198-420 tiling 5,1.06099999
568766,20160828,90.00000000,r,DES survey hex 200-440 tiling 5,1.12300003
568769,20160828,90.00000000,r,DES survey hex 206-481 tiling 5,1.14800000
568771,20160828,90.00000000,r,DES survey hex 301-511 tiling 5,1.27100003
568785,20160828,90.00000000,r,DES survey hex 182-176 tiling 5,0.93800002
569147,20160829,90.00000000,r,DES survey hex -355-410 tiling 5,1.03499997
569149,20160829,90.00000000,r,DES survey hex -379-410 tiling 5,1.17299998
569151,20160829,90.00000000,r,DES survey hex -421-410 tiling 5,0.99699998
569152,20160829,90.00000000,r,DES survey hex -337-420 tiling 5,1.22500002
569153,20160829,90.00000000,r,DES survey hex 179-450 tiling 5,1.01499999
569156,20160829,90.00000000,r,DES survey hex 181-471 tiling 5,1.44700003
569170,20160829,90.00000000,r,DES survey hex 188-298 tiling 5,1.01100004
569172,20160829,90.00000000,r,DES survey hex 170-308 tiling 5,0.99599999
569174,20160829,90.00000000,r,DES survey hex 151-298 tiling 5,1.09099996
569182,20160829,90.00000000,r,DES survey hex 186-258 tiling 5,1.06799996
569186,20160829,90.00000000,r,DES survey hex 168-247 tiling 5,0.96399999
569189,20160829,90.00000000,r,DES survey hex 184-217 tiling 5,1.04400003
569191,20160829,90.00000000,r,DES survey hex 301-176 tiling 5,0.94000000
569193,20160829,90.00000000,r,DES survey hex 317-187 tiling 5,0.95700002
569196,20160829,90.00000000,r,DES survey hex 334-176 tiling 5,0.91000003
569221,20160829,90.00000000,r,DES survey hex 209-501 tiling 5,0.97500002
569223,20160829,90.00000000,r,DES survey hex 198-592 tiling 5,1.05900002
569225,20160829,90.00000000,r,DES survey hex 166-582 tiling 5,0.97899997
569227,20160829,90.00000000,r,DES survey hex 194-572 tiling 5,1.09399998
569230,20160829,90.00000000,r,DES survey hex 164-562 tiling 5,1.13900006
569232,20160829,90.00000000,r,DES survey hex 191-552 tiling 5,1.12000000
569235,20160829,90.00000000,r,DES survey hex 162-542 tiling 5,1.26900005
569237,20160829,90.00000000,r,DES survey hex 135-552 tiling 5,1.07000005
569240,20160829,90.00000000,r,DES survey hex 135-572 tiling 5,1.27300000
569244,20160829,90.00000000,r,DES survey hex 168-603 tiling 5,1.37899995
569246,20160829,90.00000000,r,DES survey hex 171-623 tiling 5,1.34000003
569247,20160829,90.00000000,r,DES survey hex 188-532 tiling 5,1.32900000
569248,20160829,90.00000000,r,DES survey hex 185-511 tiling 5,1.52600002
569562,20160830,90.00000000,r,DES survey hex -325-633 tiling 5,0.92500001
569596,20160830,90.00000000,r,DES survey hex 100-65 tiling 5,0.93900001
569636,20160830,90.00000000,r,DES survey hex 167-227 tiling 5,1.04499996
569639,20160830,90.00000000,r,DES survey hex 152-318 tiling 5,1.38300002
569642,20160830,90.00000000,r,DES survey hex 133-329 tiling 5,1.27699995
569646,20160830,90.00000000,r,DES survey hex 114-318 tiling 5,1.29700005
569648,20160830,90.00000000,r,DES survey hex 114-339 tiling 5,1.29100001
569651,20160830,90.00000000,r,DES survey hex 154-400 tiling 5,1.15199995
569654,20160830,90.00000000,r,DES survey hex 176-410 tiling 5,1.32299995
569846,20160831,90.00000000,r,DES survey hex -374-430 tiling 5,1.24199998
569848,20160831,90.00000000,r,DES survey hex 134-450 tiling 5,1.18900001
569850,20160831,90.00000000,r,DES survey hex -280-603 tiling 5,0.98600000
569853,20160831,90.00000000,r,DES survey hex -336-582 tiling 5,1.02300000
569855,20160831,90.00000000,r,DES survey hex -378-592 tiling 5,0.93599999
569868,20160831,90.00000000,r,DES survey hex 81-532 tiling 5,1.23699999
569871,20160831,90.00000000,r,DES survey hex 108-521 tiling 5,1.20799994
569874,20160831,90.00000000,r,DES survey hex 56-521 tiling 5,1.29900002
569878,20160831,90.00000000,r,DES survey hex 28-532 tiling 5,1.26999998
569880,20160831,90.00000000,r,DES survey hex 33-511 tiling 5,1.17200005
569884,20160831,90.00000000,r,DES survey hex 60-501 tiling 5,1.33200002
569886,20160831,90.00000000,r,DES survey hex 83-511 tiling 5,1.13000000
569888,20160831,90.00000000,r,DES survey hex 109-501 tiling 5,0.99599999
569890,20160831,90.00000000,r,DES survey hex 134-511 tiling 5,0.99000001
569892,20160831,90.00000000,r,DES survey hex 159-501 tiling 5,1.06599998
569914,20160831,90.00000000,r,DES survey hex 322-430 tiling 5,1.01100004
569918,20160831,90.00000000,r,DES survey hex 342-440 tiling 5,1.06299996
569920,20160831,90.00000000,r,DES survey hex 345-420 tiling 5,1.04400003
569923,20160831,90.00000000,r,DES survey hex 156-440 tiling 5,1.16100001
569927,20160831,90.00000000,r,DES survey hex 111-440 tiling 5,0.95499998
569929,20160831,90.00000000,r,DES survey hex 133-430 tiling 5,0.92000002
569935,20160831,90.00000000,r,DES survey hex 150-258 tiling 5,0.97899997
569964,20160831,90.00000000,r,DES survey hex 149-197 tiling 5,0.94000000
569967,20160831,90.00000000,r,DES survey hex 149-217 tiling 5,0.97200000
572177,20160907,90.00000000,r,DES survey hex 17-572 tiling 5,1.15199995
572179,20160907,90.00000000,r,DES survey hex 49-562 tiling 5,1.20599997
572195,20160907,90.00000000,r,DES survey hex 11-592 tiling 5,1.11300004
572198,20160907,90.00000000,r,DES survey hex 22-440 tiling 5,1.17299998
572223,20160907,90.00000000,r,DES survey hex 326-410 tiling 5,0.90899998
572226,20160907,90.00000000,r,DES survey hex 348-400 tiling 5,0.96499997
572230,20160907,90.00000000,r,DES survey hex 368-410 tiling 5,1.08099997
572233,20160907,90.00000000,r,DES survey hex 537-410 tiling 5,0.90300000
572242,20160907,90.00000000,r,DES survey hex 40-471 tiling 5,1.01999998
572245,20160907,90.00000000,r,DES survey hex 65-461 tiling 5,0.91900003
572255,20160907,90.00000000,r,DES survey hex 71-400 tiling 5,0.94000000
572616,20160908,90.00000000,r,DES survey hex 34-623 tiling 5,1.00399995
572618,20160908,90.00000000,r,DES survey hex 66-633 tiling 5,1.01400006
572621,20160908,90.00000000,r,DES survey hex 29-400 tiling 5,0.99800003
572624,20160908,90.00000000,r,DES survey hex 76-572 tiling 5,1.13800001
572629,20160908,90.00000000,r,DES survey hex 84-34 tiling 5,1.04499996
572631,20160908,90.00000000,r,DES survey hex 100-24 tiling 5,0.93199998
572634,20160908,90.00000000,r,DES survey hex 116-14 tiling 5,0.93800002
572702,20160908,90.00000000,r,DES survey hex 329-390 tiling 5,0.94400001
572704,20160908,90.00000000,r,DES survey hex 311-379 tiling 5,0.96799999
572706,20160908,90.00000000,r,DES survey hex 351-379 tiling 5,0.95999998
572709,20160908,90.00000000,r,DES survey hex 333-369 tiling 5,0.98199999
573068,20160909,90.00000000,r,DES survey hex 2-430 tiling 5,1.04299998
575701,20160921,90.00000000,r,DES survey hex -530-501 tiling 6,0.91900003
575717,20160921,90.00000000,r,DES survey hex -532-562 tiling 6,0.90100002
575731,20160921,90.00000000,r,DES survey hex -328-562 tiling 6,1.09800005
575734,20160921,90.00000000,r,DES survey hex -360-562 tiling 6,1.09800005
575771,20160921,90.00000000,r,DES survey hex 303-582 tiling 5,1.27600002
575772,20160921,90.00000000,r,DES survey hex 314-359 tiling 5,1.13000000
575775,20160921,90.00000000,r,DES survey hex 318-339 tiling 5,1.00500000
575777,20160921,90.00000000,r,DES survey hex 374-349 tiling 5,0.95800000
575779,20160921,90.00000000,r,DES survey hex 392-379 tiling 5,0.96300000
575782,20160921,90.00000000,r,DES survey hex 410-410 tiling 5,1.00600004
576066,20160922,90.00000000,r,DES survey hex -441-592 tiling 6,0.97700000
576069,20160922,90.00000000,r,DES survey hex -412-582 tiling 6,0.98400003
576078,20160922,90.00000000,r,DES survey hex -418-562 tiling 6,0.92799997
576085,20160922,90.00000000,r,DES survey hex -352-552 tiling 6,0.93000001
576088,20160922,90.00000000,r,DES survey hex -368-542 tiling 6,1.13600004
576090,20160922,90.00000000,r,DES survey hex -392-552 tiling 6,0.92400002
576096,20160922,90.00000000,r,DES survey hex -398-532 tiling 6,0.90700001
576162,20160922,90.00000000,r,DES survey hex 345-268 tiling 5,1.00300002
576163,20160922,90.00000000,r,DES survey hex 363-258 tiling 5,0.97600001
576171,20160922,90.00000000,r,DES survey hex 333-197 tiling 5,0.97100002
576172,20160922,90.00000000,r,DES survey hex 315-207 tiling 5,0.93300003
576173,20160922,90.00000000,r,DES survey hex 331-217 tiling 5,0.93199998
576459,20160923,90.00000000,r,DES survey hex -352-511 tiling 6,0.90600002
576461,20160923,90.00000000,r,DES survey hex -403-511 tiling 6,0.92100000
576466,20160923,90.00000000,r,DES survey hex -394-440 tiling 6,0.99400002
576468,20160923,90.00000000,r,DES survey hex -370-450 tiling 6,1.15300000
576486,20160923,90.00000000,r,DES survey hex -273-430 tiling 6,0.91700000
576490,20160923,90.00000000,r,DES survey hex -276-450 tiling 6,0.93800002
576496,20160923,90.00000000,r,DES survey hex -231-450 tiling 6,1.08899999
576498,20160923,90.00000000,r,DES survey hex -230-430 tiling 6,0.93099999
576503,20160923,90.00000000,r,DES survey hex -251-420 tiling 6,1.03499997
576507,20160923,90.00000000,r,DES survey hex -208-440 tiling 6,1.02800000
576510,20160923,90.00000000,r,DES survey hex -186-450 tiling 6,0.96899998
576512,20160923,90.00000000,r,DES survey hex -164-440 tiling 6,0.96600002
576528,20160923,90.00000000,r,DES survey hex -119-440 tiling 6,0.95200002
576883,20160924,90.00000000,r,DES survey hex -345-532 tiling 6,1.08000004
576885,20160924,90.00000000,r,DES survey hex -315-521 tiling 6,1.07599998
576888,20160924,90.00000000,r,DES survey hex -338-511 tiling 6,1.12100005
576890,20160924,90.00000000,r,DES survey hex -310-501 tiling 6,1.08800006
576893,20160924,90.00000000,r,DES survey hex -287-511 tiling 6,1.07900000
576897,20160924,90.00000000,r,DES survey hex -260-501 tiling 6,0.93099999
576900,20160924,90.00000000,r,DES survey hex -257-481 tiling 6,1.13800001
576902,20160924,90.00000000,r,DES survey hex -234-491 tiling 6,1.13699996
576928,20160924,90.00000000,r,DES survey hex -163-461 tiling 6,0.91700000
576936,20160924,90.00000000,r,DES survey hex -92-471 tiling 6,1.05999994
576940,20160924,90.00000000,r,DES survey hex -71-461 tiling 6,1.04999995
577343,20160925,90.00000000,r,DES survey hex -156-4 tiling 6,0.91600001
577384,20160925,90.00000000,r,DES survey hex -17-420 tiling 6,0.92900002
577481,20160925,90.00000000,r,DES survey hex 739-643 tiling 5,0.90700001
577693,20160926,90.00000000,r,DES survey hex -336-582 tiling 6,1.03100002
577698,20160926,90.00000000,r,DES survey hex -309-592 tiling 6,0.98000002
577701,20160926,90.00000000,r,DES survey hex -302-572 tiling 6,0.93300003
577703,20160926,90.00000000,r,DES survey hex -296-552 tiling 6,1.11699998
577710,20160926,90.00000000,r,DES survey hex -321-542 tiling 6,0.93800002
577734,20160926,90.00000000,r,DES survey hex -263-521 tiling 6,0.90600002
577769,20160926,90.00000000,r,DES survey hex -125-572 tiling 6,1.02499998
578169,20160927,90.00000000,r,DES survey hex -254-633 tiling 6,0.99599999
578172,20160927,90.00000000,r,DES survey hex -137-491 tiling 6,0.91900003
578176,20160927,90.00000000,r,DES survey hex -114-481 tiling 6,1.04100001
578178,20160927,90.00000000,r,DES survey hex -212-542 tiling 6,1.13199997
578183,20160927,90.00000000,r,DES survey hex -184-552 tiling 6,1.17100000
578185,20160927,90.00000000,r,DES survey hex -184-572 tiling 6,1.14600003
578189,20160927,90.00000000,r,DES survey hex -156-562 tiling 6,1.09500003
578192,20160927,90.00000000,r,DES survey hex -213-562 tiling 6,1.03299999
578195,20160927,90.00000000,r,DES survey hex -184-592 tiling 6,1.06799996
578197,20160927,90.00000000,r,DES survey hex -154-582 tiling 6,1.08000004
578201,20160927,90.00000000,r,DES survey hex -121-592 tiling 6,1.05400002
578210,20160927,90.00000000,r,DES survey hex -50-613 tiling 6,0.91000003
578216,20160927,90.00000000,r,DES survey hex -151-603 tiling 6,1.13000000
578218,20160927,90.00000000,r,DES survey hex -149-623 tiling 6,1.05400002
578227,20160927,90.00000000,r,DES survey hex -35-623 tiling 6,0.91100001
578240,20160927,90.00000000,r,DES survey hex 28-532 tiling 6,1.03799999
578243,20160927,90.00000000,r,DES survey hex 56-521 tiling 6,1.05999994
578246,20160927,90.00000000,r,DES survey hex 81-532 tiling 6,0.95700002
578248,20160927,90.00000000,r,DES survey hex 108-521 tiling 6,0.95899999
