EXPNUM,NITE,EXPTIME,BAND,OBJECT,T_EFF
566559,20160822,90.00000000,z,DES survey hex -390-461 tiling 5,2.10299993
566560,20160822,90.00000000,z,DES survey hex -398-420 tiling 5,2.03999996
566561,20160822,90.00000000,z,DES survey hex 87-471 tiling 5,1.74399996
566562,20160822,90.00000000,z,DES survey hex -302-572 tiling 5,1.69299996
566563,20160822,90.00000000,z,DES survey hex -336-582 tiling 5,1.63000000
566566,20160822,90.00000000,z,DES survey hex -299-14 tiling 5,1.19299996
566567,20160822,90.00000000,z,DES survey hex -283-4 tiling 5,1.77999997
566568,20160822,90.00000000,z,DES survey hex -299+6 tiling 5,1.62500000
566569,20160822,90.00000000,z,DES survey hex -283+16 tiling 5,1.82000005
566570,20160822,90.00000000,z,DES survey hex -315-4 tiling 5,1.61899996
566571,20160822,90.00000000,z,DES survey hex -421-410 tiling 5,1.73599994
566572,20160822,90.00000000,z,DES survey hex -418-430 tiling 5,1.73800004
566573,20160822,90.00000000,z,DES survey hex -411-471 tiling 5,1.61500001
566574,20160822,90.00000000,z,DES survey hex -385-481 tiling 5,1.66299999
566575,20160822,90.00000000,z,DES survey hex -407-491 tiling 5,1.60599995
566576,20160822,90.00000000,z,DES survey hex -392-552 tiling 5,1.38499999
566604,20160822,90.00000000,z,DES survey hex 151-278 tiling 5,1.89400005
566605,20160822,90.00000000,z,DES survey hex 133-288 tiling 5,1.36600006
566947,20160823,90.00000000,z,DES survey hex -331-14 tiling 5,1.13600004
566948,20160823,90.00000000,z,DES survey hex -363-14 tiling 5,1.12000000
566950,20160823,90.00000000,z,DES survey hex -441-420 tiling 5,1.17100000
566951,20160823,90.00000000,z,DES survey hex 2-430 tiling 5,1.28699994
566957,20160823,90.00000000,z,DES survey hex 10-501 tiling 5,1.53199995
566958,20160823,90.00000000,z,DES survey hex 14-481 tiling 5,1.63999999
566959,20160823,90.00000000,z,DES survey hex 19-461 tiling 5,1.40900004
566960,20160823,90.00000000,z,DES survey hex 26-420 tiling 5,1.31400001
567003,20160823,90.00000000,z,DES survey hex 196-65 tiling 5,1.27999997
567004,20160823,90.00000000,z,DES survey hex 180-55 tiling 5,0.94999999
567005,20160823,90.00000000,z,DES survey hex 196-45 tiling 5,1.08899999
567006,20160823,90.00000000,z,DES survey hex 212-34 tiling 5,1.19000006
567407,20160824,90.00000000,z,DES survey hex -331+6 tiling 5,1.05900002
567411,20160824,90.00000000,z,DES survey hex 132-207 tiling 5,1.12699997
567465,20160824,90.00000000,z,DES survey hex 212+6 tiling 5,1.02400005
567467,20160824,90.00000000,z,DES survey hex 196-4 tiling 5,0.96300000
567469,20160824,90.00000000,z,DES survey hex 164-4 tiling 5,1.31200004
567470,20160824,90.00000000,z,DES survey hex 180-14 tiling 5,1.20400000
567473,20160824,90.00000000,z,DES survey hex 196-24 tiling 5,1.14300001
567476,20160824,90.00000000,z,DES survey hex 180-34 tiling 5,0.96100003
567479,20160824,90.00000000,z,DES survey hex 164-45 tiling 5,1.25100005
567480,20160824,90.00000000,z,DES survey hex 164-65 tiling 5,1.13600004
571722,20160906,90.00000000,z,DES survey hex -385-481 tiling 6,1.10800004
571807,20160906,90.00000000,z,DES survey hex 115-237 tiling 5,0.91200000
572128,20160907,90.00000000,z,DES survey hex -462-430 tiling 6,1.03299999
572154,20160907,90.00000000,z,DES survey hex -421-410 tiling 6,1.28199995
572155,20160907,90.00000000,z,DES survey hex -418-430 tiling 6,1.28699994
572156,20160907,90.00000000,z,DES survey hex -441-420 tiling 6,1.33099997
572163,20160907,90.00000000,z,DES survey hex 88-450 tiling 5,0.95200002
572164,20160907,90.00000000,z,DES survey hex 91-410 tiling 5,1.03799999
572166,20160907,90.00000000,z,DES survey hex 49-410 tiling 5,1.16199994
572168,20160907,90.00000000,z,DES survey hex -338-511 tiling 6,1.47800004
572169,20160907,90.00000000,z,DES survey hex 3-613 tiling 5,1.02400005
572171,20160907,90.00000000,z,DES survey hex 70-613 tiling 5,0.96600002
572189,20160907,90.00000000,z,DES survey hex 90-430 tiling 5,1.31700003
572190,20160907,90.00000000,z,DES survey hex 114-318 tiling 5,1.08000004
572191,20160907,90.00000000,z,DES survey hex 115-197 tiling 5,0.90799999
572192,20160907,90.00000000,z,DES survey hex 98-227 tiling 5,1.06200004
572193,20160907,90.00000000,z,DES survey hex 98-207 tiling 5,1.17299998
572196,20160907,90.00000000,z,DES survey hex 34-623 tiling 5,2.04299998
572265,20160907,90.00000000,z,DES survey hex 97-268 tiling 5,1.37399995
572290,20160907,90.00000000,z,DES survey hex 95-308 tiling 5,1.02900004
572291,20160907,90.00000000,z,DES survey hex 95-329 tiling 5,1.05400002
572314,20160907,90.00000000,z,DES survey hex 79-258 tiling 5,0.98400003
572453,20160908,90.00000000,z,DES survey hex -431-633 tiling 6,0.91600001
572455,20160908,90.00000000,z,DES survey hex -425-653 tiling 6,0.92900002
572457,20160908,90.00000000,z,DES survey hex -391-643 tiling 6,1.00000000
572469,20160908,90.00000000,z,DES survey hex -483-440 tiling 6,1.02999997
572470,20160908,90.00000000,z,DES survey hex -482-461 tiling 6,0.99900001
572471,20160908,90.00000000,z,DES survey hex -481-481 tiling 6,1.05400002
572472,20160908,90.00000000,z,DES survey hex -480-501 tiling 6,0.98699999
572473,20160908,90.00000000,z,DES survey hex -478-521 tiling 6,1.24699998
572474,20160908,90.00000000,z,DES survey hex -451-532 tiling 6,1.07400000
572477,20160908,90.00000000,z,DES survey hex -456-491 tiling 6,1.24500000
572478,20160908,90.00000000,z,DES survey hex -433-481 tiling 6,1.42200005
572481,20160908,90.00000000,z,DES survey hex -458-471 tiling 6,1.08099997
572484,20160908,90.00000000,z,DES survey hex -436-461 tiling 6,1.05499995
572492,20160908,90.00000000,z,DES survey hex -460-450 tiling 6,1.01300001
572497,20160908,90.00000000,z,DES survey hex -484-420 tiling 6,0.94000000
572501,20160908,90.00000000,z,DES survey hex -477-542 tiling 6,0.97399998
572502,20160908,90.00000000,z,DES survey hex -504-552 tiling 6,1.11399996
572505,20160908,90.00000000,z,DES survey hex -454-511 tiling 6,0.97500002
572508,20160908,90.00000000,z,DES survey hex -439-440 tiling 6,1.35699999
572512,20160908,90.00000000,z,DES survey hex -415-450 tiling 6,1.39400005
572517,20160908,90.00000000,z,DES survey hex -380-501 tiling 6,0.97200000
